"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
34,1,3401,"広島1区",129547,17432,17873,14143,2066,43644,597,11262,31049,3208,3785
34,2,3402,"広島2区",122150,7560,23407,9618,1308,58082,260,10440,20244,3543,3405
34,3,3403,"広島3区",134240,7893,24766,10281,1630,70946,205,10857,15205,4124,3871
34,4,3404,"広島4区",132202,14940,13645,7007,1867,75629,224,9426,15790,3619,3442
34,5,3405,"広島5区",90838,6163,3997,2575,1347,62784,70,5946,9220,2533,2098
34,6,3406,"広島6区",116634,5654,6339,1902,1679,82530,130,4867,15327,2023,4004
35,1,3501,"山口1区",121726,7675,4808,1249,879,89974,104,3263,16633,1833,1953
35,2,3502,"山口2区",110337,6983,6474,1475,965,78585,113,5150,14761,2152,2167
35,3,3503,"山口3区",101357,7694,6792,3649,846,73293,151,3030,7809,2062,1943
36,1,3601,"徳島1区",98006,5131,2480,1247,597,68421,109,4643,16542,1515,2673
36,2,3602,"徳島2区",66222,2386,2225,451,499,52879,37,1957,6223,1019,1621
37,1,3701,"香川1区",92700,6448,7050,1585,510,53843,124,6302,19570,2269,2235
37,2,3702,"香川2区",71972,2809,5567,453,453,53920,41,2998,7562,1029,1673
37,3,3703,"香川3区",69619,4093,3366,364,397,51624,38,2493,8267,950,1790
38,1,3801,"愛媛1区",112550,7695,5857,2164,526,56994,209,16430,24878,2722,3411
38,2,3802,"愛媛2区",113989,7027,2206,751,953,77884,97,9063,17745,2439,2582
38,3,3803,"愛媛3区",79966,5767,3068,1050,1251,54465,114,6163,8379,2042,1928
39,1,3901,"高知1区",80707,5075,2799,852,578,52586,166,6602,13912,1580,2287
39,2,3902,"高知2区",69897,3998,1755,729,829,48760,76,4937,8803,1851,2137
40,1,4001,"福岡1区",130575,17108,32517,13065,737,46030,496,6587,22968,3295,4036
40,2,4002,"福岡2区",124278,14091,27323,21836,633,37793,899,7762,26437,3129,3830
40,3,4003,"福岡3区",131089,7047,38590,14332,887,51991,411,9031,21666,3670,3978
