"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
28,7,2807,"兵庫7区",536705,357683,112027,109032,47774,0,0,23172,38086,2995,203,66792
28,8,2808,"兵庫8区",459593,283558,78793,77617,40612,0,0,14234,22771,1176,182,97060
28,9,2809,"兵庫9区",430941,304861,71797,70502,33899,0,0,22462,14141,1295,190,54093
28,10,2810,"兵庫10区",412472,319548,61195,59759,29100,0,0,20905,9754,1436,130,31599
28,11,2811,"兵庫11区",486958,355051,91515,89483,57111,0,0,15661,16711,2032,179,40213
28,12,2812,"兵庫12区",331362,276738,43445,41673,20728,0,0,14150,6795,1772,116,11063
29,1,2901,"奈良1区",466384,349638,81255,79332,36491,0,0,10553,32288,1923,229,35262
29,2,2902,"奈良2区",451842,353392,69469,67709,24803,0,0,21821,21085,1760,138,28843
29,3,2903,"奈良3区",406247,325906,54233,52826,23506,0,0,17276,12044,1407,126,25982
30,1,3001,"和歌山1区",469512,346085,76778,75601,48188,0,0,12417,14996,1177,200,46449
30,2,3002,"和歌山2区",453072,369996,66547,65595,33797,0,0,18495,13303,952,179,16350
31,1,3101,"鳥取1区",277037,211359,48134,47190,27430,0,0,7130,12630,944,73,17471
31,2,3102,"鳥取2区",276370,209752,47861,46627,24125,0,0,9826,12676,1234,100,18657
32,1,3201,"島根1区",312233,237230,57452,56424,31234,0,0,9500,15690,1028,125,17426
32,2,3202,"島根2区",358893,277792,69444,66096,38052,0,0,11524,16520,3348,305,11352
33,1,3301,"岡山1区",414013,276682,93937,90494,43812,31023,7221,15307,31375,3443,153,43241
33,2,3302,"岡山2区",502747,362436,89620,86999,55504,34239,14958,14419,17076,2621,358,50333
33,3,3303,"岡山3区",484712,388203,74646,70794,34365,0,0,20789,15640,3852,178,21685
33,4,3304,"岡山4区",486960,338296,87140,85266,52877,0,0,14257,18132,1874,148,61376
34,1,3401,"広島1区",501230,322904,118759,116244,63836,33487,22548,20594,31814,2515,237,59330
34,2,3402,"広島2区",470287,328636,97456,95260,55851,27471,17152,16504,22905,2196,182,44013
34,3,3403,"広島3区",513053,370164,99655,96930,59727,38869,17252,13904,23299,2725,258,42976
