"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
11,1,1101,"埼玉1区",83261,6278,37496,10973,609,17858,111,934,22513,493,2260
11,2,1102,"埼玉2区",90060,6741,39672,10478,601,13656,131,1414,30124,671,2805
11,3,1103,"埼玉3区",86957,5089,35454,7044,917,24086,124,1080,25382,588,2459
11,4,1104,"埼玉4区",87533,7456,41887,11131,888,13181,89,1704,26623,538,2493
11,5,1105,"埼玉5区",85318,7650,37355,8697,609,16586,152,768,24892,635,2230
11,6,1106,"埼玉6区",93369,5132,26692,6249,896,40563,61,851,24356,616,2288
11,7,1107,"埼玉7区",83751,5825,28997,5306,1746,30020,95,1157,20234,540,2327
11,8,1108,"埼玉8区",89439,7442,37075,6252,1665,23349,123,1263,24202,543,2224
11,9,1109,"埼玉9区",87830,6707,20833,6106,1367,46460,118,1230,13505,539,1653
11,10,1110,"埼玉10区",71979,3558,14183,3252,1428,45843,49,607,8553,509,1481
11,11,1111,"埼玉11区",77223,3292,5099,588,524,63257,37,397,5060,562,1601
11,12,1112,"埼玉12区",83523,3437,10249,2387,670,61399,39,432,8720,512,1948
11,13,1113,"埼玉13区",81364,3675,22009,3716,1256,43761,80,702,13814,529,2185
11,14,1114,"埼玉14区",87642,5690,34070,8130,600,19449,120,1069,30572,632,2940
11,15,1115,"埼玉15区",95586,7055,45643,9668,595,11332,116,999,34283,542,2763
11,16,1116,"埼玉16区",80663,4149,25660,5042,965,33401,96,768,19742,560,2482
12,1,1201,"千葉1区",94180,9192,40657,15623,1158,22072,168,783,20430,906,2345
12,2,1202,"千葉2区",70045,5209,29262,9765,1418,20585,110,844,12999,444,2049
12,3,1203,"千葉3区",70942,4002,16910,5469,831,43412,67,528,6473,521,2177
12,4,1204,"千葉4区",92773,6932,53013,10209,1277,12083,122,1506,23428,494,2765
12,5,1205,"千葉5区",100996,7444,59652,14665,1460,6748,218,712,27245,554,3067
12,6,1206,"千葉6区",92429,7413,49714,9598,1032,16302,122,1161,20460,545,2928
12,7,1207,"千葉7区",63838,3464,23992,3082,822,26463,56,428,11766,388,1901
12,8,1208,"千葉8区",76350,5853,31647,9297,992,23701,113,876,16222,475,1937
12,9,1209,"千葉9区",84201,5514,23576,8116,955,43840,105,776,9477,958,2209
12,10,1210,"千葉10区",73799,4030,7134,2961,1149,55816,200,398,3966,553,1855
12,11,1211,"千葉11区",73200,2797,7423,1507,430,58782,36,513,4168,532,1555
12,12,1212,"千葉12区",80397,4484,5774,3110,1079,63063,69,522,4152,736,2148
12,13,1213,"千葉13区",88997,5586,30540,5094,1266,41334,84,752,12773,570,2137
12,14,1214,"千葉14区",91299,6788,47013,10735,1914,18068,122,1304,20345,523,2511
13,1,1301,"東京1区",61185,10552,39076,3970,194,1323,882,109,6882,477,3230
13,2,1302,"東京2区",68975,9573,42850,6502,324,1262,1206,98,11143,576,3066
13,3,1303,"東京3区",85630,10512,55066,5418,536,4581,637,522,12166,554,3052
13,4,1304,"東京4区",98615,8595,56906,9035,1098,1726,1159,453,28176,509,4572
13,5,1305,"東京5区",77626,7182,51336,10113,277,2834,580,269,13166,486,2917
13,6,1306,"東京6区",84674,6395,56132,7876,328,2720,317,400,19933,461,3014
13,7,1307,"東京7区",73962,12366,45810,8012,282,2707,2220,137,7487,655,3232
13,8,1308,"東京8区",84403,6476,59797,9720,324,1856,289,178,16181,408,2452
13,9,1309,"東京9区",62947,4393,35364,9259,212,3044,124,491,21813,362,1913
13,10,1310,"東京10区",93314,11597,64945,6180,291,1703,649,133,12117,544,3007
13,11,1311,"東京11区",83789,7894,52191,6189,402,2021,203,561,20174,414,3062
13,12,1312,"東京12区",79920,7171,51385,6786,372,1528,184,312,17270,407,3051
13,13,1313,"東京13区",76360,5342,42437,6262,328,3583,138,514,25500,428,2862
13,14,1314,"東京14区",89584,8063,54494,8738,349,2077,343,370,23467,514,3021
13,15,1315,"東京15区",96686,9499,56439,14397,462,2077,603,341,21364,540,3733
13,16,1316,"東京16区",86307,5972,46074,13765,463,3893,190,619,29751,540,3036
13,17,1317,"東京17区",80527,5514,46008,6506,364,3000,140,368,27575,438,2677
13,18,1318,"東京18区",84565,6606,48972,12929,385,3597,132,420,26644,448,2360
13,19,1319,"東京19区",69005,5300,37264,8907,492,5507,119,418,23079,359,1934
13,20,1320,"東京20区",85410,6035,34879,10462,640,15179,98,1227,31117,561,2370
13,21,1321,"東京21区",83480,8120,39904,12521,989,13724,119,995,20868,686,2239
13,22,1322,"東京22区",92389,7237,52300,16668,430,4045,189,633,29005,490,2603
13,23,1323,"東京23区",74270,8123,32312,15921,877,16804,131,2061,12673,503,2235
13,24,1324,"東京24区",76312,8120,27871,15243,1362,21411,142,1338,13665,583,1999
13,25,1325,"東京25区",86825,7656,25817,5083,998,33704,91,948,20155,661,2463
13,26,1326,"東京26区",92099,8583,62627,9302,405,2872,733,355,14631,535,3390
13,27,1327,"東京27区",78446,6938,53610,7789,258,1319,371,192,14740,398,2287
13,28,1328,"東京28区",71560,5068,48214,3892,267,1784,140,308,16784,315,2283
13,29,1329,"東京29区",74836,5483,41083,7474,291,3232,150,520,24125,495,2966
13,30,1330,"東京30区",90633,8987,47545,13525,804,9283,151,1188,23808,577,2395
14,1,1401,"神奈川1区",91542,10159,49824,21324,812,9138,334,2421,13739,580,2573
14,2,1402,"神奈川2区",94900,12434,54284,22146,775,7387,410,2533,9905,585,2701
14,3,1403,"神奈川3区",100269,10858,58425,21781,1098,6695,282,1882,15866,582,3013
