"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
39,1,3901,"高知1区",92410,64010,11703,52307,25918,0,24369,988,561,2482
39,2,3902,"高知2区",81857,58404,11960,46444,21244,0,19488,1242,514,2209
40,1,4001,"福岡1区",139456,74366,8881,65485,60644,35807,21366,2346,1125,4446
40,2,4002,"福岡2区",134865,56628,10587,46041,74711,57788,13111,2764,1048,3526
40,3,4003,"福岡3区",143546,59331,12457,46874,80209,52953,22408,3427,1421,4006
40,4,4004,"福岡4区",128080,40915,9249,31666,83965,1881,78707,1895,1482,3200
40,5,4005,"福岡5区",139055,43820,11834,31986,90907,2444,80510,5864,2089,4328
40,6,4006,"福岡6区",120725,65875,13815,52060,52258,0,38887,12185,1186,2592
40,7,4007,"福岡7区",88453,49568,13365,36203,36536,0,28949,6698,889,2349
40,8,4008,"福岡8区",102072,45012,8032,36980,54955,0,52936,1037,982,2105
40,9,4009,"福岡9区",115028,55817,6968,48849,56119,37876,15841,1487,915,3092
40,10,4010,"福岡10区",119058,63207,7228,55979,51570,35774,11598,3263,935,4281
40,11,4011,"福岡11区",76064,34705,6581,28124,39885,0,35931,3323,631,1474
41,1,4101,"佐賀1区",113000,68542,11409,57133,41989,0,24558,16522,909,2469
41,2,4102,"佐賀2区",116059,71012,18240,52772,43575,0,35490,7184,901,1472
42,1,4201,"長崎1区",104580,87292,7175,80117,14433,0,12472,1453,508,2855
42,2,4202,"長崎2区",133273,90895,19486,71409,40148,0,37452,2036,660,2230
42,3,4203,"長崎3区",117333,94370,13451,80919,21288,0,15936,4792,560,1675
43,1,4301,"熊本1区",138224,72187,10875,61312,61419,33377,24332,2569,1141,4618
43,2,4302,"熊本2区",100511,49988,12822,37166,47896,18319,21568,7227,782,2627
43,3,4303,"熊本3区",106659,54837,17762,37075,51064,0,49036,1608,420,758
43,4,4304,"熊本4区",123110,88162,22244,65918,33908,0,31208,2308,392,1040
44,1,4401,"大分1区",127927,112924,7537,105387,12953,0,11113,1542,298,2050
44,2,4402,"大分2区",82410,63873,13626,50247,17858,0,15386,2255,217,679
44,3,4403,"大分3区",92227,62115,10553,51562,28426,0,23716,4216,494,1686
45,1,4501,"宮崎1区",109218,94108,11327,82781,12772,0,11560,913,299,2338
45,2,4502,"宮崎2区",87789,65462,13597,51865,21284,0,19943,1064,277,1043
45,3,4503,"宮崎3区",84786,66863,12820,54043,17142,0,13066,3879,197,781
46,1,4601,"鹿児島1区",108074,95868,7535,88333,9499,0,8352,840,307,2707
46,2,4602,"鹿児島2区",107887,91269,13641,77628,15215,0,14222,745,248,1403
46,3,4603,"鹿児島3区",101458,71624,12599,59025,28988,0,27015,1677,296,846
46,4,4604,"鹿児島4区",103359,80584,15346,65238,21296,0,17891,3094,311,1479
47,1,4701,"沖縄1区",77584,53952,4962,48990,20935,0,20159,281,495,2697
47,2,4702,"沖縄2区",83593,30237,4703,25534,49717,0,47953,246,1518,3639
47,3,4703,"沖縄3区",87414,49463,6712,42751,33792,0,32260,232,1300,4159
47,4,4704,"沖縄4区",93454,50526,9474,41052,40436,0,39426,290,720,2492
