"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
40,10,4010,"福岡10区",58355,22790,11644,11459,3239,8793,401,29,23427,4799,7988,1228,9411,1
40,11,4011,"福岡11区",37029,15924,8119,7942,1699,3236,107,2,15369,1785,7431,950,5203,0
41,1,4101,"佐賀1区",57854,22734,11872,12264,2603,7742,618,21,22167,2913,7722,4189,7343,0
41,2,4102,"佐賀2区",51989,22737,11991,12367,2070,2704,114,6,21169,1373,10416,3693,5686,1
42,1,4201,"長崎1区",52481,19469,10122,11147,1657,9098,969,19,19152,2137,7154,3863,5998,0
42,2,4202,"長崎2区",62520,27092,14228,15138,1832,4029,191,10,26533,2726,12264,3945,7598,0
42,3,4203,"長崎3区",50841,22346,11194,11017,2241,3916,117,10,21259,2551,8829,3705,6174,0
43,1,4301,"熊本1区",76591,27689,14157,15619,3052,14745,1310,19,28575,3435,9739,5299,10102,0
43,2,4302,"熊本2区",50570,20901,10279,10432,2461,6241,244,12,21413,1889,8860,4064,6598,2
43,3,4303,"熊本3区",50646,23350,11144,10292,2121,3602,133,4,22710,1775,13041,1793,6101,0
43,4,4304,"熊本4区",53505,23830,12533,12373,2168,2508,92,1,21717,913,13529,2010,5265,0
44,1,4401,"大分1区",63563,26045,12982,13001,3625,7372,533,5,25391,3932,8203,4544,8712,0
44,2,4402,"大分2区",32002,14063,7418,7730,1226,1471,93,1,12372,1268,3624,3920,3560,0
44,3,4403,"大分3区",42309,17207,8893,9318,2146,4578,160,7,16087,1824,5786,3401,5076,0
45,1,4501,"宮崎1区",58635,23912,12087,12492,2116,7444,572,12,23102,2321,8080,4840,7861,0
45,2,4502,"宮崎2区",38595,17229,8841,9270,1233,1957,63,2,15666,1434,7106,2857,4269,0
45,3,4503,"宮崎3区",39935,18221,9121,8952,2140,1457,40,4,17238,1287,5885,5199,4867,0
46,1,4601,"鹿児島1区",57017,21730,10977,11694,3018,8624,945,29,20556,3663,7645,2805,6443,0
46,2,4602,"鹿児島2区",50627,22427,11227,11596,2132,3025,190,30,21709,2916,8968,3545,6280,0
46,3,4603,"鹿児島3区",47147,20894,10662,11180,2132,2160,117,2,19758,2174,8082,3713,5789,0
46,4,4604,"鹿児島4区",47524,22054,11023,9941,2152,2022,88,244,21004,2025,6094,6014,6871,0
47,1,4701,"沖縄1区",48368,20135,10050,10288,2608,5028,230,29,19757,1257,6779,3418,8303,0
47,2,4702,"沖縄2区",63313,25944,12721,12614,2931,8552,530,21,26686,2405,9536,2283,12462,0
47,3,4703,"沖縄3区",62799,26810,13284,13449,3261,5631,343,21,28304,2111,10617,1861,13715,0
47,4,4704,"沖縄4区",57283,27354,12386,11694,2136,3574,109,30,29904,2278,12328,3408,11890,0
