"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
12,11,1211,"千葉11区",105287,43966,15777,28189,59393,0,51728,6537,1128,1928
12,12,1212,"千葉12区",118738,62987,13772,49215,52542,0,44669,6799,1074,3209
12,13,1213,"千葉13区",123499,31518,11545,19973,89150,0,47258,40198,1694,2831
12,14,1214,"千葉14区",126122,35264,9044,26220,87310,0,35540,49797,1973,3548
13,1,1301,"東京1区",81797,34313,10430,23883,43715,36407,1797,4659,852,3769
13,2,1302,"東京2区",93324,35487,13609,21878,54015,46268,787,6087,873,3822
13,3,1303,"東京3区",114496,45142,14123,31019,65768,54089,1163,9469,1047,3586
13,4,1304,"東京4区",132603,55549,13147,42402,71052,53082,1147,15465,1358,6002
13,5,1305,"東京5区",98521,29937,14143,15794,65800,54001,1983,8697,1119,2784
13,6,1306,"東京6区",106438,32961,14272,18689,70532,55676,5831,7781,1244,2945
13,7,1307,"東京7区",97148,43123,14933,28190,50647,42429,1645,5765,808,3378
13,8,1308,"東京8区",104748,28647,13647,15000,73452,59641,7005,5716,1090,2649
13,9,1309,"東京9区",82746,24295,9842,14453,55995,41435,5661,7561,1338,2456
13,10,1310,"東京10区",118835,35858,15471,20387,79788,67436,2064,8968,1320,3189
13,11,1311,"東京11区",102865,31337,10923,20414,67405,54164,1815,9767,1659,4123
13,12,1312,"東京12区",103527,28572,10229,18343,70527,57032,1451,10416,1628,4428
13,13,1313,"東京13区",102844,33547,10724,22823,64785,49904,843,12172,1866,4512
13,14,1314,"東京14区",118794,36299,14341,21958,78346,65244,1192,10311,1599,4149
13,15,1315,"東京15区",128479,42938,13041,29897,80189,68413,1269,9179,1328,5352
13,16,1316,"東京16区",120297,38621,11250,27371,76407,60889,1091,12629,1798,5269
13,17,1317,"東京17区",107828,31817,11482,20335,72048,56972,911,12137,2028,3963
13,18,1318,"東京18区",111977,26903,12563,14340,82604,0,73812,7417,1375,2470
13,19,1319,"東京19区",92235,22820,9278,13542,67291,0,59026,7086,1179,2124
13,20,1320,"東京20区",113497,28196,10579,17617,82052,0,66700,13046,2306,3249
13,21,1321,"東京21区",114145,34216,9590,24626,77071,0,65863,9827,1381,2858
13,22,1322,"東京22区",119941,31922,13832,18090,84862,0,75290,7922,1650,3157
13,23,1323,"東京23区",101099,29618,9624,19994,68616,0,35215,31872,1529,2865
13,24,1324,"東京24区",106136,51819,9700,42119,51510,0,40063,10190,1257,2807
13,25,1325,"東京25区",121033,40426,10082,30344,76849,0,66325,8519,2005,3758
13,26,1326,"東京26区",117092,36455,15602,20853,77225,63165,1649,11148,1263,3412
13,27,1327,"東京27区",101919,27514,13725,13789,71743,61173,4064,5348,1158,2662
13,28,1328,"東京28区",88951,24757,10237,14520,61521,50909,2470,6913,1229,2673
13,29,1329,"東京29区",99939,32387,11648,20739,63123,50022,918,10341,1842,4429
13,30,1330,"東京30区",123987,37549,11515,26034,83342,0,68143,13440,1759,3096
14,1,1401,"神奈川1区",125100,38825,9648,29177,82579,34794,15886,30409,1490,3696
14,2,1402,"神奈川2区",126885,30136,10597,19539,92990,43279,14844,33302,1565,3759
14,3,1403,"神奈川3区",141855,38908,12152,26756,98348,28567,20393,47704,1684,4599
14,4,1404,"神奈川4区",90371,24236,9902,14334,64315,8830,29298,25023,1164,1820
14,5,1405,"神奈川5区",110072,27743,8980,18763,79604,29764,18415,30102,1323,2725
14,6,1406,"神奈川6区",109043,26216,8788,17428,79884,35934,14838,27708,1404,2943
14,7,1407,"神奈川7区",93131,24964,9413,15551,66159,17885,9400,37961,913,2008
14,8,1408,"神奈川8区",123671,28091,11780,16311,93121,26127,14901,50616,1477,2459
14,9,1409,"神奈川9区",99287,22375,10249,12126,74584,10854,12011,50460,1259,2328
14,10,1410,"神奈川10区",110383,39565,9426,30139,66115,9508,15526,39622,1459,4703
14,11,1411,"神奈川11区",110795,62021,8536,53485,46179,0,33847,11236,1096,2595
14,12,1412,"神奈川12区",125466,47682,10456,37226,74651,0,49891,23286,1474,3133
14,13,1413,"神奈川13区",106244,29143,8117,21026,73976,8972,42809,20663,1532,3125
14,14,1414,"神奈川14区",123565,50651,9758,40893,69269,10889,26570,30394,1416,3645
14,15,1415,"神奈川15区",129199,49021,10728,38293,76699,0,54916,20190,1593,3479
14,16,1416,"神奈川16区",121748,51781,9766,42015,67256,0,51970,14180,1106,2711
14,17,1417,"神奈川17区",134928,58780,12923,45857,73236,0,58506,13519,1211,2912
14,18,1418,"神奈川18区",133776,32915,14715,18200,97463,14959,17207,63890,1407,3398
14,19,1419,"神奈川19区",113794,29491,11285,18206,81596,19156,13803,47266,1371,2707
14,20,1420,"神奈川20区",100708,26905,8023,18882,71053,3862,38646,27131,1414,2750
15,1,1501,"新潟1区",110794,67608,10840,56768,41220,31769,8400,645,406,1966
15,2,1502,"新潟2区",128048,70246,15699,54547,55591,23157,31087,616,731,2211
15,3,1503,"新潟3区",119409,65778,14397,51381,51714,13671,36401,864,778,1917
15,4,1504,"新潟4区",115494,89062,12163,76899,25581,0,24741,556,284,851
15,5,1505,"新潟5区",117111,97954,15507,82447,17698,0,15943,1428,327,1459
16,1,1601,"富山1区",88579,72652,7002,65650,13748,0,12160,1302,286,2179
