"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
44,2,4402,"大分2区",153891,123670,23577,100093,29025,0,25370,3274,381,1196
44,3,4403,"大分3区",174531,125658,18438,107220,45752,0,38484,6490,778,3121
45,1,4501,"宮崎1区",211996,187297,20467,166830,20342,0,18716,1147,479,4357
45,2,4502,"宮崎2区",166514,126385,23918,102467,38231,0,36368,1390,473,1898
45,3,4503,"宮崎3区",163223,132074,22333,109741,29633,0,23575,5712,346,1516
46,1,4601,"鹿児島1区",213104,193376,13785,179591,14622,0,13068,1063,491,5106
46,2,4602,"鹿児島2区",204940,176901,23889,153012,25396,0,24116,867,413,2643
46,3,4603,"鹿児島3区",192362,143091,21752,121339,47722,0,44769,2476,477,1549
46,4,4604,"鹿児島4区",194025,154117,27015,127102,37155,0,31253,5416,486,2753
47,1,4701,"沖縄1区",145571,105442,8821,96621,35140,0,33915,422,803,4989
47,2,4702,"沖縄2区",158137,61542,8189,53353,90026,0,87169,386,2471,6569
47,3,4703,"沖縄3区",162132,95203,11265,83938,59554,0,57108,347,2099,7375
47,4,4704,"沖縄4区",172500,94871,15576,79295,73244,0,71587,421,1236,4385
