"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
14,2,1402,"神奈川2区",90655,57239,50878,27460,12678,6361,660,32756,0,3641,25952,32756
14,3,1403,"神奈川3区",78445,49215,42794,21547,11335,6421,464,28766,0,3658,20262,28766
14,4,1404,"神奈川4区",75916,52863,46854,27136,11034,6009,288,22765,0,3514,26081,22765
14,5,1405,"神奈川5区",73543,52037,46195,25499,11971,5842,318,21188,0,3717,24538,21188
14,6,1406,"神奈川6区",82032,55058,48887,26625,12245,6171,358,26616,0,3832,25462,26616
14,7,1407,"神奈川7区",45846,30856,27160,14638,7047,3696,267,14723,0,2239,13858,14723
14,8,1408,"神奈川8区",70939,50587,45309,26103,11425,5278,274,20078,0,3416,24954,20078
14,9,1409,"神奈川9区",54258,37423,33188,18343,8426,4235,427,16408,0,2633,17500,16408
14,10,1410,"神奈川10区",59203,36966,31159,14750,8423,5807,446,21791,0,3447,13721,21791
14,11,1411,"神奈川11区",91354,62940,53737,29141,13356,9203,468,27946,0,5581,27823,27946
14,12,1412,"神奈川12区",76971,53672,46802,25641,12052,6870,394,22905,0,4343,24461,22905
14,13,1413,"神奈川13区",74118,51518,44414,23347,11687,7104,474,22126,0,4637,22266,22126
14,14,1414,"神奈川14区",81788,59118,50325,27055,13428,8793,702,21968,0,5819,25750,21968
14,15,1415,"神奈川15区",94748,67922,57767,31275,15177,10155,507,26319,0,6558,29938,26319
14,16,1416,"神奈川16区",74679,54590,46742,25704,12541,7848,387,19702,0,5235,24525,19702
14,17,1417,"神奈川17区",105155,75965,61410,33394,15746,14555,599,28591,0,9535,31904,28591
14,18,1418,"神奈川18区",54929,36103,31390,15867,8457,4713,338,18488,0,2846,14879,18488
14,19,1419,"神奈川19区",54745,38790,34089,18798,8995,4701,250,15705,0,3052,17815,15705
14,20,1420,"神奈川20区",67614,46864,41082,22055,10648,5782,525,20225,0,3686,21024,20225
15,1,1501,"新潟1区",81711,57832,43108,22083,10978,14724,360,23519,0,9773,21058,23519
15,2,1502,"新潟2区",91751,72960,47655,22675,14030,25305,358,18433,0,18480,21788,18433
15,3,1503,"新潟3区",93584,74171,46144,21450,13298,28027,360,19053,0,20105,20601,19053
15,4,1504,"新潟4区",86148,67212,43314,21658,11969,23898,289,18647,0,16982,20787,18647
15,5,1505,"新潟5区",90580,71122,43752,22199,11562,27370,364,19094,0,19008,21235,19094
16,1,1601,"富山1区",59547,43152,32094,17050,8243,11058,242,16153,0,7629,16382,16153
16,2,1602,"富山2区",57676,45383,29423,14295,8394,15960,188,12105,0,11262,13780,12105
16,3,1603,"富山3区",87745,69523,42475,21173,11826,27048,305,17917,0,19341,20532,17917
17,1,1701,"石川1区",75154,53401,41638,23175,10068,11763,395,21358,0,8017,22229,21358
17,2,1702,"石川2区",67523,51958,36152,19665,9595,15806,371,15194,0,11245,18933,15194
17,3,1703,"石川3区",63445,47607,32680,18501,7514,14927,221,15617,0,9505,17862,15617
18,1,1801,"福井1区",84406,65894,40297,21173,10567,25597,414,18098,0,18913,20382,18098
