"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
23,15,2315,"愛知15区",29636,12114,6233,6294,619,3655,712,9,11480,1310,3804,1932,4434,0
23,16,2316,"愛知16区",34132,13249,7028,7064,905,5537,342,7,12626,2534,4327,357,5407,1
24,1,2401,"三重1区",29088,11431,5963,6427,870,3920,467,10,10982,1493,4084,1139,4266,0
24,2,2402,"三重2区",31342,12651,6750,6949,1539,3265,182,6,11837,1729,4863,676,4568,1
24,3,2403,"三重3区",33126,13722,7048,7169,866,4087,228,6,13097,2412,4549,386,5750,0
24,4,2404,"三重4区",19044,7824,4267,4387,735,1760,65,6,6914,540,3235,861,2278,0
25,1,2501,"滋賀1区",29373,10850,5631,5838,653,5921,477,3,10377,1537,3408,1217,4215,0
25,2,2502,"滋賀2区",38267,15455,7960,8102,909,5522,315,4,14336,1815,4265,2804,5451,1
25,3,2503,"滋賀3区",40835,15008,7730,7674,949,8593,879,2,14922,1971,4426,2131,6394,0
26,1,2601,"京都1区",35926,10263,5157,5219,756,13074,1456,1,10600,1708,3729,411,4752,0
26,2,2602,"京都2区",27847,7138,3662,3848,506,9997,2688,8,6935,1060,2032,718,3125,0
26,3,2603,"京都3区",30293,10574,5652,5774,732,7006,552,3,10956,1776,3796,648,4736,0
26,4,2604,"京都4区",34731,11705,6195,6722,1175,7927,1000,7,11581,1831,4127,481,5142,0
26,5,2605,"京都5区",16960,6981,3847,4231,995,870,31,5,6695,732,2374,1347,2242,0
26,6,2606,"京都6区",44178,15859,8501,8522,1062,9295,933,6,13904,2342,4125,1643,5794,0
27,1,2701,"大阪1区",27072,10540,4616,4745,1307,5403,455,6,13459,1790,3916,255,7498,0
27,2,2702,"大阪2区",34217,12507,6315,6782,1201,7017,391,4,12921,1430,3445,915,7131,0
27,3,2703,"大阪3区",24479,8799,4734,4825,820,4929,355,17,8906,1128,2142,588,5048,0
27,4,2704,"大阪4区",27217,10675,5150,4880,971,5123,416,2,13202,1695,3670,751,7086,0
27,5,2705,"大阪5区",29942,10964,5572,5550,1531,5933,378,14,11631,1526,2965,575,6565,0
27,6,2706,"大阪6区",29644,11011,5751,5940,830,5814,286,12,11469,1396,2672,1727,5674,0
27,7,2707,"大阪7区",36404,12958,6310,6402,841,9016,876,1,13960,2899,3571,1092,6398,0
27,8,2708,"大阪8区",39224,14352,6901,6729,680,9221,1338,3,14755,2754,2764,2349,6886,2
27,9,2709,"大阪9区",37599,13243,6572,6786,699,8580,1717,2,12580,2432,3018,1509,5621,0
27,10,2710,"大阪10区",27676,9864,5452,5434,643,5864,413,6,9978,1619,2522,1315,4522,0
27,11,2711,"大阪11区",33636,11835,6473,6822,815,7216,467,8,10753,1980,3304,956,4512,1
27,12,2712,"大阪12区",28609,9862,5448,5730,789,6433,286,61,9546,1228,2361,1460,4497,0
27,13,2713,"大阪13区",30070,9076,4966,6441,724,8508,308,47,10630,1043,1918,1784,5885,0
27,14,2714,"大阪14区",35602,12666,6754,7284,914,7617,358,9,12121,1457,2985,2109,5570,0
27,15,2715,"大阪15区",31808,11092,6039,6522,938,6918,290,9,10387,1561,2597,1478,4751,0
27,16,2716,"大阪16区",26613,9859,5081,5186,603,5304,579,1,10221,1561,1964,2085,4611,0
27,17,2717,"大阪17区",28983,10953,5917,6056,803,4976,272,6,9844,1621,1592,2293,4338,0
27,18,2718,"大阪18区",39024,14303,7679,8184,1345,7201,309,3,13234,1804,2394,2611,6425,0
27,19,2719,"大阪19区",26849,9488,5459,5628,838,5211,222,3,8556,1106,1604,2144,3702,0
28,1,2801,"兵庫1区",33729,11477,5708,5677,933,8392,1403,139,12156,2079,3069,1651,5357,0
28,2,2802,"兵庫2区",28202,10431,5799,5907,904,4788,361,12,9448,1560,2238,1591,4058,1
28,3,2803,"兵庫3区",24176,9617,4717,4740,601,4209,288,4,9396,1647,1899,1740,4110,0
28,4,2804,"兵庫4区",35006,13127,7213,7770,1203,5348,341,4,11580,1055,2602,3515,4408,0
28,5,2805,"兵庫5区",30389,12238,6466,6851,681,3855,296,2,10451,1127,1880,3538,3906,0
28,6,2806,"兵庫6区",37984,14522,7432,7447,890,7246,443,4,14269,2692,3485,995,7097,0
28,7,2807,"兵庫7区",42203,15122,8005,8115,718,9625,610,8,14617,3177,3869,839,6732,0
28,8,2808,"兵庫8区",24566,9286,4805,5029,721,4432,284,9,10993,1680,2900,840,5573,0
28,9,2809,"兵庫9区",27663,11258,5737,5631,918,3895,213,11,12316,1512,3834,1252,5718,0
28,10,2810,"兵庫10区",28211,11471,5943,6015,742,3835,200,5,10640,1121,2750,2270,4499,0
28,11,2811,"兵庫11区",33874,13922,7098,7109,1078,4336,324,7,13329,1128,3732,2859,5610,0
28,12,2812,"兵庫12区",21542,8779,4667,4934,559,2442,159,2,7395,924,1852,2081,2538,0
29,1,2901,"奈良1区",33960,11982,6343,6444,760,7507,924,0,11042,1734,2878,1767,4663,0
29,2,2902,"奈良2区",33994,12169,6463,7324,1104,6582,350,2,11153,1983,3417,1233,4520,0
29,3,2903,"奈良3区",25425,9305,5033,5388,853,4558,283,5,8536,1240,3086,704,3506,0
30,1,3001,"和歌山1区",30357,11986,6189,6492,897,4479,294,20,11672,1715,3227,1739,4991,0
30,2,3002,"和歌山2区",26160,10779,5892,6317,1194,1869,106,3,9624,776,3775,1713,3360,0
31,1,3101,"鳥取1区",19233,7317,3914,4109,465,3009,416,3,7063,493,3569,864,2137,0
31,2,3102,"鳥取2区",16593,7169,3676,3733,954,929,127,5,7365,585,3379,1263,2136,2
32,1,3201,"島根1区",20962,8156,4178,4499,1238,2602,285,4,7984,603,4375,929,2077,0
32,2,3202,"島根2区",22031,9339,4822,5559,740,1446,121,4,9261,667,5674,763,2157,0
33,1,3301,"岡山1区",32071,10406,5397,5832,1034,8115,1284,3,10516,1243,3616,1687,3970,0
33,2,3302,"岡山2区",33613,13637,7167,7462,742,4385,214,6,13388,1391,4687,1932,5378,0
33,3,3303,"岡山3区",30010,12110,6724,6903,1147,2950,172,4,11139,1009,4665,1795,3670,0
33,4,3304,"岡山4区",30559,12876,6600,6564,635,3682,194,8,12556,1978,4643,1139,4796,0
34,1,3401,"広島1区",32025,13047,6589,6501,847,4462,541,38,13920,2502,4998,1006,5414,0
34,2,3402,"広島2区",32279,12993,6380,6337,957,5290,251,71,12821,2107,5360,614,4740,0
34,3,3403,"広島3区",38497,15485,7906,8046,851,6012,193,4,14057,2217,4748,1512,5580,0
34,4,3404,"広島4区",36787,12509,6335,6257,1438,8747,1496,5,11576,1570,3701,1997,4308,0
34,5,3405,"広島5区",21518,9023,4809,5012,565,2018,86,5,7925,943,2917,1435,2630,0
34,6,3406,"広島6区",30909,12934,6617,6588,861,3799,101,9,12810,1393,3898,2369,5150,0
35,1,3501,"山口1区",32723,12474,6290,6330,1175,5612,841,1,11968,2418,4525,863,4162,0
35,2,3502,"山口2区",25469,11118,5927,5829,1242,1285,64,4,10317,1768,3812,792,3945,0
35,3,3503,"山口3区",24655,9897,5237,5258,724,3432,100,7,8717,1134,3660,1163,2760,0
36,1,3601,"徳島1区",25661,9407,4890,5128,1155,4345,733,3,9237,1137,3671,1597,2832,0
36,2,3602,"徳島2区",17028,7258,3818,3944,422,1372,213,1,6766,1205,2044,1271,2246,0
37,1,3701,"香川1区",24130,9847,4928,4952,952,3131,307,13,9625,1607,3327,1349,3341,1
37,2,3702,"香川2区",18325,7368,3970,4339,685,1831,127,5,6599,799,2289,1493,2018,0
37,3,3703,"香川3区",17699,7551,3730,4122,880,1352,60,4,6915,1406,2374,874,2261,0
38,1,3801,"愛媛1区",35680,13140,6890,7405,1134,6548,555,8,12710,2641,2913,1614,5542,0
38,2,3802,"愛媛2区",26518,11805,6061,5822,1747,1019,60,4,10495,1448,3980,1321,3746,0
38,3,3803,"愛媛3区",20168,8732,4657,5010,414,1271,78,6,7582,810,3385,940,2447,0
39,1,3901,"高知1区",22861,8800,4560,4666,1280,3210,340,5,8486,770,4270,675,2771,0
39,2,3902,"高知2区",18773,7288,4103,4626,596,1976,141,43,6680,320,3745,496,2119,0
40,1,4001,"福岡1区",35944,12580,5956,6033,3018,7661,687,9,15208,2439,6245,148,6376,0
40,2,4002,"福岡2区",37051,14062,6390,6417,1918,7581,676,7,14994,2892,5885,105,6112,0
40,3,4003,"福岡3区",47319,16932,8301,7918,1236,10661,2262,9,16576,2962,7029,361,6224,0
40,4,4004,"福岡4区",37376,16401,7786,7200,999,4746,241,3,16129,3186,5375,1026,6542,0
40,5,4005,"福岡5区",42427,17370,8633,8369,1246,6245,506,58,16706,2931,5902,446,7427,0
