"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
29,2,2902,"奈良2区",179491,7956,54093,8257,1490,93549,138,10314,20465,2196,4296
29,3,2903,"奈良3区",159257,7753,34828,2861,1232,97624,123,6423,15135,2116,4034
30,1,3001,"和歌山1区",190382,7882,14003,4405,953,126006,264,19121,22909,2782,5565
30,2,3002,"和歌山2区",176320,8360,9482,2125,1364,138497,124,9466,8970,2384,3682
31,1,3101,"鳥取1区",118984,7011,1830,2386,683,96492,174,946,8880,1414,2947
31,2,3102,"鳥取2区",119425,5708,1483,1158,632,101539,135,871,7367,1361,2195
32,1,3201,"島根1区",137083,8001,1398,3700,1377,110662,279,1969,9559,1750,2718
32,2,3202,"島根2区",159032,9387,1453,1403,1487,134495,160,1757,6871,1809,3343
33,1,3301,"岡山1区",170920,11551,10823,6262,837,109342,333,4862,33263,2327,3222
33,2,3302,"岡山2区",210677,7119,11267,7514,1342,154854,274,7211,26346,3000,5045
33,3,3303,"岡山3区",201941,9652,5603,1160,1105,169335,154,3570,10419,2140,5191
33,4,3304,"岡山4区",199089,7346,11845,2500,916,154424,196,5209,20724,2206,5920
34,1,3401,"広島1区",221566,28949,31088,31863,2444,68360,1363,15219,57784,4471,5916
34,2,3402,"広島2区",207676,13010,39612,20321,1950,100368,580,13268,33542,4832,5397
34,3,3403,"広島3区",221865,13557,39214,20750,2013,121175,374,13877,22097,5758,5998
34,4,3404,"広島4区",209756,20836,16739,11212,2269,133022,404,11648,20379,4675,5219
34,5,3405,"広島5区",152952,9356,4047,3223,1769,115173,214,7580,11802,3148,3348
34,6,3406,"広島6区",195781,9232,6801,3152,1633,148223,297,5981,20341,2660,6478
35,1,3501,"山口1区",204335,10858,3813,2418,837,165371,290,3821,19298,2390,2702
35,2,3502,"山口2区",184427,10993,6485,2812,1143,142745,296,5982,17376,2692,3259
35,3,3503,"山口3区",177077,12520,7331,7204,1195,136926,349,3489,9081,2695,3045
36,1,3601,"徳島1区",166599,7580,2479,2280,755,127156,251,5953,20906,1893,4223
36,2,3602,"徳島2区",115527,4086,1675,640,667,99491,62,2394,5646,1240,2683
37,1,3701,"香川1区",156508,9407,10786,2985,545,100757,252,7886,28070,2860,3504
37,2,3702,"香川2区",123067,4278,6341,667,473,101118,75,3608,7955,1264,2524
37,3,3703,"香川3区",117221,5241,2989,363,495,96368,83,2989,8580,1235,2830
38,1,3801,"愛媛1区",195338,12055,11301,5185,829,107545,436,24369,38052,3637,5425
38,2,3802,"愛媛2区",190637,10062,1335,1102,1126,146622,202,11297,19441,3119,4102
38,3,3803,"愛媛3区",140181,9714,3422,1321,1561,103654,198,8713,11201,2513,2940
39,1,3901,"高知1区",142783,8058,4148,2003,661,99172,419,9144,21715,2157,3672
39,2,3902,"高知2区",123105,6588,2027,1521,694,92653,186,6810,12447,2260,3212
40,1,4001,"福岡1区",227100,29206,56628,30987,1233,78264,1117,7613,39496,4233,6257
40,2,4002,"福岡2区",227286,27188,53788,51634,930,62276,1845,9219,45526,4236,5925
40,3,4003,"福岡3区",220289,12498,62609,27446,1179,94489,709,9803,32870,4601,5849
40,4,4004,"福岡4区",201045,10138,33654,13810,1397,130515,343,7308,14273,3769,4816
40,5,4005,"福岡5区",215423,12431,50861,16047,1048,120573,357,9065,22669,4304,6170
40,6,4006,"福岡6区",184659,11281,18024,6645,998,132500,333,4308,16279,2523,4234
40,7,4007,"福岡7区",131540,5296,6253,2168,816,106282,139,3467,7783,1720,3692
40,8,4008,"福岡8区",159672,8077,9778,3780,1147,129931,246,2574,5382,2428,3139
40,9,4009,"福岡9区",180290,15093,17916,17178,1141,120658,530,3777,8172,3003,4433
40,10,4010,"福岡10区",193487,19536,21422,22683,1167,111777,761,4076,14119,5321,6089
40,11,4011,"福岡11区",117881,5582,5347,824,976,97546,131,1566,5605,1465,2426
41,1,4101,"佐賀1区",175736,7988,8100,3755,1101,137030,231,3440,16960,2097,3841
41,2,4102,"佐賀2区",173165,7526,3094,1679,2337,149757,482,1858,5614,2258,2561
42,1,4201,"長崎1区",171453,21927,12534,38501,1336,81344,860,14734,2673,3745,4414
42,2,4202,"長崎2区",198093,13526,6253,8212,2220,155051,288,5875,5713,3623,3855
42,3,4203,"長崎3区",178316,19301,3004,10265,1744,130470,591,6639,4432,4546,2975
43,1,4301,"熊本1区",219406,18662,9757,15912,1058,136386,844,12145,29832,3484,6192
43,2,4302,"熊本2区",152902,5970,4849,5886,743,118346,293,6323,11965,2128,3788
43,3,4303,"熊本3区",154802,5627,2543,2106,860,133831,138,5031,5781,1750,1636
43,4,4304,"熊本4区",180729,7920,2631,1195,1264,153539,233,3906,10144,2996,2189
44,1,4401,"大分1区",203189,12492,6201,8918,1199,152074,394,6986,18815,2577,3113
44,2,4402,"大分2区",119677,7462,1308,612,1096,100638,172,2713,5626,1663,1276
44,3,4403,"大分3区",141822,9409,3354,2827,1568,113705,239,3491,6451,1805,2915
45,1,4501,"宮崎1区",172935,8763,2018,6121,722,134014,439,5471,16636,2239,3932
45,2,4502,"宮崎2区",130291,6692,942,790,959,109792,237,2952,7412,1618,1904
45,3,4503,"宮崎3区",128648,5694,602,353,838,113520,176,1826,4356,1753,1468
46,1,4601,"鹿児島1区",179125,19394,8652,18896,1239,104731,675,11988,17563,3766,4199
46,2,4602,"鹿児島2区",164445,10208,4856,3700,1315,128465,242,9266,8003,2464,2274
46,3,4603,"鹿児島3区",155042,7954,3430,1220,2226,132697,371,3110,5043,1720,1612
46,4,4604,"鹿児島4区",153290,9166,911,586,1476,131981,118,3161,4398,1818,2714
47,1,4701,"沖縄1区",123236,18501,8694,10827,697,63848,1614,15236,5120,3277,3537
47,2,4702,"沖縄2区",133093,7516,1318,6326,997,102946,573,9136,2680,2408,4438
47,3,4703,"沖縄3区",134743,7229,106,2474,2223,112121,483,2839,2349,2556,5084
47,4,4704,"沖縄4区",142496,8589,416,4262,1053,110815,544,11337,4737,2586,3666
