"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
7,2,702,"福島2区",121696,93802,13382,80420,24732,0,23418,746,568,3162
7,3,703,"福島3区",94640,66950,13232,53718,25903,0,24110,1323,470,1787
7,4,704,"福島4区",93747,84283,7867,76416,7910,0,5663,1992,255,1554
8,1,801,"茨城1区",117427,80504,10960,69544,34572,0,30199,3696,677,2351
8,2,802,"茨城2区",84038,51263,12065,39198,31022,0,25560,4871,591,1753
8,3,803,"茨城3区",101268,44981,7995,36986,54195,0,35029,18327,839,2092
8,4,804,"茨城4区",70542,40117,6801,33316,29134,0,27666,1003,465,1291
8,5,805,"茨城5区",57853,41109,4243,36866,15925,0,14480,1245,200,819
8,6,806,"茨城6区",126037,75149,10576,64573,48029,0,38393,8832,804,2859
8,7,807,"茨城7区",96134,53776,11562,42214,39938,0,24477,14529,932,2420
9,1,901,"栃木1区",104707,82699,8323,74376,18953,0,16191,2400,362,3055
9,2,902,"栃木2区",71634,48593,7922,40671,21781,0,20650,764,367,1260
9,3,903,"栃木3区",69044,44383,9159,35224,22757,0,21465,935,357,1904
9,4,904,"栃木4区",102518,58276,10811,47465,42322,0,31805,9839,678,1920
9,5,905,"栃木5区",98143,70350,9371,60979,26448,0,15979,10001,468,1345
10,1,1001,"群馬1区",98877,71859,10167,61692,25070,0,23149,1501,420,1948
10,2,1002,"群馬2区",98394,58856,8991,49865,37046,0,32496,3907,643,2492
10,3,1003,"群馬3区",92368,55376,8111,47265,34893,0,23438,10847,608,2099
10,4,1004,"群馬4区",85379,60117,6488,53629,23400,0,19034,3988,378,1862
10,5,1005,"群馬5区",90854,56369,10016,46353,32776,0,31057,1122,597,1709
11,1,1101,"埼玉1区",100448,39732,7556,32176,58103,20593,12270,24275,965,2613
11,2,1102,"埼玉2区",107793,52257,8878,43379,52099,0,14530,36285,1284,3437
11,3,1103,"埼玉3区",103346,52679,7168,45511,47662,0,22833,23860,969,3005
11,4,1104,"埼玉4区",104200,36532,7548,28984,64808,0,22358,41051,1399,2860
11,5,1105,"埼玉5区",101776,41427,6902,34525,57853,22263,12387,22170,1033,2496
11,6,1106,"埼玉6区",111235,48281,7727,40554,60324,0,45324,13878,1122,2630
11,7,1107,"埼玉7区",99958,50118,7206,42912,47099,0,29101,16967,1031,2741
11,8,1108,"埼玉8区",106772,50952,7731,43221,53220,0,22638,29561,1021,2600
11,9,1109,"埼玉9区",105201,51685,7364,44321,51610,0,34574,16252,784,1906
11,10,1110,"埼玉10区",86866,35770,6410,29360,49261,0,41305,7129,827,1835
11,11,1111,"埼玉11区",95182,53571,9556,44015,39754,0,32040,7044,670,1857
11,12,1112,"埼玉12区",100944,56433,8495,47938,42353,0,33196,8485,672,2158
11,13,1113,"埼玉13区",97267,39690,7216,32474,55040,0,40418,13550,1072,2537
11,14,1114,"埼玉14区",104047,47302,8123,39179,53133,0,17389,34397,1347,3612
11,15,1115,"埼玉15区",113415,40640,7858,32782,69587,11731,21410,35029,1417,3188
11,16,1116,"埼玉16区",96106,45004,7068,37936,48171,3150,28343,15486,1192,2931
12,1,1201,"千葉1区",111571,52949,6441,46508,55739,21480,15610,17749,900,2883
12,2,1202,"千葉2区",82998,33960,4901,29059,46597,8797,22885,13995,920,2441
12,3,1203,"千葉3区",84079,46774,5136,41638,34479,7816,20708,5153,802,2826
12,4,1204,"千葉4区",110374,48014,7816,40198,59231,0,23500,34581,1150,3129
12,5,1205,"千葉5区",119905,47498,8604,38894,69155,0,15219,52774,1162,3252
12,6,1206,"千葉6区",109427,50531,7557,42974,55339,0,19817,34284,1238,3557
12,7,1207,"千葉7区",76272,36324,5866,30458,37751,0,17651,19413,687,2197
12,8,1208,"千葉8区",91280,48473,6624,41849,40371,0,18195,21418,758,2436
12,9,1209,"千葉9区",100772,45536,7598,37938,52599,8964,33909,8748,978,2637
12,10,1210,"千葉10区",94353,62274,12674,49600,30108,0,24747,4763,598,1971
12,11,1211,"千葉11区",91785,45533,10838,34695,44607,0,41280,2553,774,1645
12,12,1212,"千葉12区",98768,61604,10492,51112,34753,0,31399,2686,668,2411
12,13,1213,"千葉13区",107708,44297,8429,35868,60916,0,42337,17534,1045,2495
12,14,1214,"千葉14区",108693,47603,6964,40639,58079,0,33477,23520,1082,3011
13,1,1301,"東京1区",76988,34144,9368,24776,39245,33992,1679,2860,714,3599
13,2,1302,"東京2区",85278,35130,11756,23374,46770,41704,638,3667,761,3378
13,3,1303,"東京3区",103420,44187,11534,32653,56020,48562,903,5718,837,3213
13,4,1304,"東京4区",115259,58962,9437,49525,51087,41102,690,8454,841,5210
13,5,1305,"東京5区",99682,39673,13658,26015,56747,48347,1744,5738,918,3262
13,6,1306,"東京6区",106581,43402,12445,30957,59801,47603,7162,4188,848,3378
13,7,1307,"東京7区",95095,44673,14826,29847,46885,40853,1621,3637,774,3537
13,8,1308,"東京8区",105093,37234,12263,24971,65209,53609,8160,2657,783,2650
13,9,1309,"東京9区",78093,32013,7459,24554,43727,32759,6440,3749,779,2353
13,10,1310,"東京10区",116798,41135,13288,27847,72061,64190,1772,5064,1035,3602
13,11,1311,"東京11区",100630,39655,8542,31113,57328,50420,1172,4826,910,3647
13,12,1312,"東京12区",94741,34495,7929,26566,56779,49018,997,5686,1078,3467
13,13,1313,"東京13区",90665,39233,7580,31653,47903,40435,462,5970,1036,3529
13,14,1314,"東京14区",107388,39981,10629,29352,63958,56422,764,5464,1308,3449
13,15,1315,"東京15区",115199,47167,10551,36616,63772,57292,972,4557,951,4260
13,16,1316,"東京16区",103978,47002,8177,38825,53442,45010,747,6472,1213,3534
13,17,1317,"東京17区",95946,38841,8264,30577,53768,45795,488,6351,1134,3337
13,18,1318,"東京18区",105085,36074,10167,25907,66282,0,62193,3147,942,2729
13,19,1319,"東京19区",85369,29135,7006,22129,53951,0,50076,3075,800,2283
13,20,1320,"東京20区",102632,39172,7327,31845,60613,0,51968,7283,1362,2847
13,21,1321,"東京21区",100926,42123,6667,35456,56239,0,51343,4061,835,2564
13,22,1322,"東京22区",113941,41568,10807,30761,69271,0,64483,3695,1093,3102
13,23,1323,"東京23区",91237,43946,7003,36943,44284,0,21605,21836,843,3007
13,24,1324,"東京24区",93534,61016,6912,54104,29948,0,25290,4053,605,2570
13,25,1325,"東京25区",102783,45919,7104,38815,53919,0,49786,3015,1118,2945
13,26,1326,"東京26区",115670,42759,14668,28091,69158,59933,1284,6931,1010,3753
13,27,1327,"東京27区",95994,30157,10748,19409,63277,56274,3671,2448,884,2560
13,28,1328,"東京28区",86435,29734,8067,21667,54074,47885,2030,3381,778,2627
13,29,1329,"東京29区",90089,36479,8394,28085,49975,43277,575,4985,1138,3635
13,30,1330,"東京30区",109902,47025,8155,38870,60046,0,52747,6291,1008,2831
14,1,1401,"神奈川1区",108603,47652,7530,40122,57976,32328,9238,15438,972,2975
14,2,1402,"神奈川2区",111581,39476,7749,31727,69051,42237,8125,17579,1110,3054
14,3,1403,"神奈川3区",118225,43871,8798,35073,71015,27743,13114,29155,1003,3339
14,4,1404,"神奈川4区",82017,33962,7866,26096,46037,8243,25550,11390,854,2018
14,5,1405,"神奈川5区",95511,39311,6344,32967,53795,28272,11445,13367,711,2405
14,6,1406,"神奈川6区",95274,36008,5993,30015,56742,35162,7261,13407,912,2524
14,7,1407,"神奈川7区",81460,30597,7043,23554,49035,17393,6201,24858,583,1828
14,8,1408,"神奈川8区",111361,42895,8644,34251,65997,24510,10517,30052,918,2469
14,9,1409,"神奈川9区",89263,30430,7128,23302,56629,10595,7459,37807,768,2204
14,10,1410,"神奈川10区",85408,37433,6411,31022,45021,8230,10982,24894,915,2954
