"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_農業，林業","就業者数_01_うち農業","就業者数_B_漁業","就業者数_C_鉱業，採石業，砂利採取業","就業者数_D_建設業","就業者数_E_製造業","就業者数_F_電気・ガス・熱供給・水道業","就業者数_G_情報通信業","就業者数_H_運輸業，郵便業","就業者数_I_卸売業，小売業","就業者数_J_金融業，保険業","就業者数_K_不動産業，物品賃貸業","就業者数_L_学術研究，専門・技術サービス業","就業者数_M_宿泊業，飲食サービス業","就業者数_N_生活関連サービス業，娯楽業","就業者数_O_教育，学習支援業","就業者数_P_医療，福祉","就業者数_Q_複合サービス事業","就業者数_R_サービス業（他に分類されないもの）","就業者数_S_公務（他に分類されるものを除く）","就業者数_T_分類不能の産業","就業者数_R1_（再掲）第1次産業","就業者数_R2_（再掲）第2次産業","就業者数_R3_（再掲）第3次産業"
10,2,1002,"群馬2区",199336,6402,6273,18,24,12815,54844,713,2374,11842,28630,3346,2297,4534,8589,6817,8224,25871,1266,9900,4528,6302,6420,67683,118931
10,3,1003,"群馬3区",196245,7131,7116,12,18,10387,64939,524,1956,12187,25875,2910,2115,4270,8635,5561,7786,21238,1274,9831,4224,5372,7143,75344,108386
10,4,1004,"群馬4区",171398,3750,3602,9,50,12161,34922,754,3111,8585,27570,4299,3123,5837,8583,6450,9221,22466,1053,9453,5556,4445,3759,47133,116061
10,5,1005,"群馬5区",185446,12390,11963,26,83,15551,37543,799,1466,7515,24580,3126,2015,4194,11407,7064,7981,26358,1950,9383,6780,5235,12416,53177,114618
11,1,1101,"埼玉1区",203563,1809,1790,2,35,13059,20423,887,13347,10497,33448,8917,6947,10941,10245,6553,11945,24480,832,15461,7314,6421,1811,33517,161814
11,2,1102,"埼玉2区",226112,824,818,5,18,20239,30163,587,17383,15217,35995,6498,7407,9322,12907,8112,7282,21954,800,17394,4908,9097,829,50420,165766
11,3,1103,"埼玉3区",213443,1839,1834,2,13,17765,25925,657,10516,17300,37240,5973,6429,7849,10991,7487,9433,24440,847,15070,6034,7633,1841,43703,160266
11,4,1104,"埼玉4区",216198,1543,1538,7,16,17084,22485,626,16366,13004,32439,6701,6340,11729,10935,7495,10133,23575,923,16480,10744,7573,1550,39585,167490
11,5,1105,"埼玉5区",209809,839,833,6,14,13157,23172,1058,12588,10429,35256,8219,7295,11023,10670,7051,11198,24407,1139,16631,9333,6324,845,36343,166297
11,6,1106,"埼玉6区",229539,3194,3177,20,16,15207,34403,980,8555,16700,40241,5678,5517,8039,11043,8374,10646,27915,1067,16964,7903,7077,3214,49626,169622
11,7,1107,"埼玉7区",205113,3311,3299,2,14,14034,30347,827,8700,13576,32460,5026,5453,8182,10895,7209,10296,25792,1409,14790,5999,6791,3313,44395,150614
11,8,1108,"埼玉8区",218531,2824,2807,6,18,14448,26839,718,12074,13928,33336,6295,6497,9861,11243,7725,11539,28100,1071,16541,8609,6859,2830,41305,167537
11,9,1109,"埼玉9区",217752,3274,3184,4,45,14870,39725,651,6044,16102,32003,3936,4704,6343,10881,8938,9990,30093,1414,14009,9193,5533,3278,54640,154301
11,10,1110,"埼玉10区",178920,3885,3845,8,35,11467,36369,680,3708,13162,26591,2847,3284,5182,8962,6971,8909,22833,1363,11660,5560,5444,3893,47871,121712
11,11,1111,"埼玉11区",196389,10929,10721,5,257,12986,47964,635,2133,11957,27221,2560,2368,4060,9710,7089,7930,24795,1630,11052,5526,5582,10934,61207,118666
11,12,1112,"埼玉12区",211089,6764,6746,39,24,13645,45268,763,3699,17837,32059,3789,3160,5349,9439,7274,9228,24780,1423,13079,7137,6333,6803,58937,139016
11,13,1113,"埼玉13区",204597,4257,4246,12,9,14335,33900,812,6487,19376,32473,4140,4115,6619,9399,6502,9252,23379,1095,14238,7046,7151,4269,48244,144933
11,14,1114,"埼玉14区",220753,1538,1532,5,15,20039,33756,662,11691,19395,36562,5292,5988,7471,10876,7222,6974,21588,814,17070,4607,9188,1543,53810,156212
11,15,1115,"埼玉15区",235107,569,560,7,39,16323,27226,798,17955,14704,38112,8944,8276,11137,12766,8399,10958,24044,1157,18456,6909,8328,576,43588,182615
11,16,1116,"埼玉16区",199965,2885,2882,10,8,16172,28887,653,6291,19156,33689,4132,4819,6166,9766,7170,8318,22781,1007,14863,5398,7794,2895,45067,144209
12,1,1201,"千葉1区",224270,703,671,16,58,13694,21669,1177,13228,14423,36712,8605,6879,11253,12736,8482,12648,26874,884,18431,8794,7004,719,35421,181126
12,2,1202,"千葉2区",168039,1422,1411,13,17,11313,18303,649,9842,13877,28609,5642,4735,6494,8658,6266,8415,18975,538,13121,5061,6089,1435,29633,130882
12,3,1203,"千葉3区",178402,2818,2770,5,61,17625,26062,1098,4436,11710,26123,3694,3862,6715,8819,7553,7954,23080,1040,12803,5446,7498,2823,43748,124333
12,4,1204,"千葉4区",227543,1901,1893,102,49,14971,21143,785,18962,16197,37643,8810,7635,10387,12516,8659,10664,23586,705,17858,6616,8354,2003,36163,181023
12,5,1205,"千葉5区",245273,369,358,75,56,13560,20706,882,26667,17583,38105,11911,9079,13078,14788,11670,9909,21383,649,19770,5358,9675,444,34322,200832
12,6,1206,"千葉6区",224960,1542,1537,11,19,15330,21736,741,15441,13673,37971,7352,7117,9997,12968,9163,10528,26893,1072,17781,7134,8491,1553,37085,177831
