"ken","kuno","kucode","kuname","人口_総数","人口_出生時から","人口_1年未満","人口_1年以上5年未満","人口_5年以上10年未満","人口_10年以上20年未満","人口_20年以上","人口_居住期間「不詳」"
11,5,1105,"埼玉5区",463794,38783,26412,73782,57111,81723,113850,72133
11,6,1106,"埼玉6区",483717,50006,20961,63870,54584,89915,170362,34019
11,7,1107,"埼玉7区",466430,45160,19971,59184,52906,78767,137336,73106
11,8,1108,"埼玉8区",494495,42576,22538,68747,58961,89409,147927,64337
11,9,1109,"埼玉9区",475677,50208,19807,58211,50031,86021,171893,39506
11,10,1110,"埼玉10区",389998,49106,16202,48288,40054,67425,138867,30056
11,11,1111,"埼玉11区",404351,64623,15957,47871,41210,63408,148952,22330
11,12,1112,"埼玉12区",437517,67280,19041,55388,46660,71102,160930,17116
11,13,1113,"埼玉13区",437194,54207,17942,54554,47746,79331,161926,21488
11,14,1114,"埼玉14区",483812,42618,20481,68127,55908,81982,131758,82938
11,15,1115,"埼玉15区",505406,41412,26561,81340,65609,87488,114736,88260
11,16,1116,"埼玉16区",441852,45285,17007,52975,46024,76638,150746,53177
12,1,1201,"千葉1区",521262,36642,25030,75850,59811,101055,129623,93251
12,2,1202,"千葉2区",376826,28749,19447,54124,43235,69631,108176,53464
12,3,1203,"千葉3区",398945,40908,19264,58284,48256,75925,128895,27413
12,4,1204,"千葉4区",488099,40976,25432,76137,61213,94901,118023,71417
12,5,1205,"千葉5区",503057,35352,30732,91092,64025,87186,101150,93520
12,6,1206,"千葉6区",498232,38050,22725,71629,57952,93192,136838,77846
12,7,1207,"千葉7区",352487,36344,18147,55764,38853,58811,105619,38949
12,8,1208,"千葉8区",426468,34477,20927,62545,48931,75857,121974,61757
12,9,1209,"千葉9区",476714,43870,19612,59591,53421,83273,172500,44447
12,10,1210,"千葉10区",395257,77985,17051,45857,37785,53486,141353,21740
12,11,1211,"千葉11区",410235,71247,15184,42167,38544,62156,155573,25364
12,12,1212,"千葉12区",444813,62507,22144,60218,48712,68792,151642,30798
12,13,1213,"千葉13区",496099,48857,21945,64699,54060,93703,159948,52887
12,14,1214,"千葉14区",495986,37697,24994,76568,61939,94860,142007,57921
13,1,1301,"東京1区",416065,21115,23000,65129,42133,41109,54739,168840
13,2,1302,"東京2区",380623,27269,24754,75354,47230,47144,49124,109748
13,3,1303,"東京3区",446949,34002,30837,82818,53749,60741,81576,103226
13,4,1304,"東京4区",513628,39264,30231,87107,58563,70895,105244,122324
13,5,1305,"東京5区",457259,28845,25236,74490,55599,61548,82476,129065
13,6,1306,"東京6区",486466,29350,27428,85054,59572,68815,88234,128013
13,7,1307,"東京7区",504369,26998,28665,78634,54563,55408,62652,197449
13,8,1308,"東京8区",472388,28916,27080,79620,56517,64866,88359,127030
13,9,1309,"東京9区",369336,22922,18487,55430,44550,60581,81106,86260
13,10,1310,"東京10区",541668,34431,33937,94482,62742,65263,85129,165684
13,11,1311,"東京11区",479076,31911,23991,71779,54493,65420,93324,138158
13,12,1312,"東京12区",460620,32430,24826,74155,51616,60143,95525,121925
13,13,1313,"東京13区",469525,33312,21296,60660,48955,66684,101701,136917
13,14,1314,"東京14区",480269,41218,25311,75975,54147,67573,103675,112370
13,15,1315,"東京15区",524310,37492,30214,82773,64339,86501,99402,123589
13,16,1316,"東京16区",489748,35954,24398,76035,58178,75129,104143,115911
13,17,1317,"東京17区",453093,37517,21957,63358,50654,69751,108776,101080
13,18,1318,"東京18区",483611,32902,31041,89383,65259,84136,105272,75618
13,19,1319,"東京19区",405111,26095,21570,64964,48048,64713,91050,88671
13,20,1320,"東京20区",498024,37522,21496,64653,55903,94295,133155,91000
13,21,1321,"東京21区",491757,33424,24052,73232,56627,89757,111287,103378
13,22,1322,"東京22区",522777,34387,29204,87334,64464,83490,104707,119191
13,23,1323,"東京23区",431079,30907,19000,60000,49949,91044,115365,64814
13,24,1324,"東京24区",461614,37318,22342,63182,47209,80393,127757,83413
13,25,1325,"東京25区",492992,48571,21774,64290,52986,84376,151483,69512
13,26,1326,"東京26区",522480,35224,29212,86249,62485,71200,98652,139458
13,27,1327,"東京27区",463600,28182,27639,75060,51005,52384,80656,148674
13,28,1328,"東京28区",383272,23864,22943,65775,45703,54224,75080,95683
13,29,1329,"東京29区",442993,36825,20199,58961,47651,66303,93490,119564
13,30,1330,"東京30区",502892,36402,25477,78210,63514,98066,118388,82835
14,1,1401,"神奈川1区",517058,37166,26052,72265,64117,92104,137866,87488
14,2,1402,"神奈川2区",518340,39183,26606,74671,58548,89085,139152,91095
14,3,1403,"神奈川3区",544704,45837,28080,83136,67864,92810,116698,110279
14,4,1404,"神奈川4区",381629,30871,16871,49763,43885,77022,120036,43181
14,5,1405,"神奈川5区",436087,35419,20326,65342,50772,86666,132408,45154
14,6,1406,"神奈川6区",452985,34591,20176,60756,50605,79505,139164,68188
14,7,1407,"神奈川7区",358530,26930,21837,60867,45883,59387,76670,66956
14,8,1408,"神奈川8区",493838,31760,26046,78183,66804,102789,119430,68826
14,9,1409,"神奈川9区",402439,27056,22703,67665,47993,72242,87640,77140
14,10,1410,"神奈川10区",404084,36112,21555,66936,50710,67769,82373,78629
14,11,1411,"神奈川11区",430147,43965,19707,54225,44401,76090,152844,38915
14,12,1412,"神奈川12区",485253,42348,25447,78373,64215,92438,127645,54787
14,13,1413,"神奈川13区",445705,37476,24113,71118,58211,86917,129892,37978
14,14,1414,"神奈川14区",486989,43987,21004,62135,54501,84346,147171,73845
14,15,1415,"神奈川15区",532445,50605,22466,71220,61181,96763,159315,70895
14,16,1416,"神奈川16区",462001,46880,27147,75020,57978,88917,140635,25424
14,17,1417,"神奈川17区",526496,61194,23066,68511,59467,94857,178407,40994
14,18,1418,"神奈川18区",498011,39430,31342,91815,65916,88941,85895,94672
14,19,1419,"神奈川19区",446860,30928,23253,74319,62022,90005,95003,71330
14,20,1420,"神奈川20区",413736,32816,20662,63964,49085,75545,120767,50897
15,1,1501,"新潟1区",434255,52233,25159,67043,49612,67909,139268,33031
15,2,1502,"新潟2区",474855,87483,19667,56682,44907,65992,178431,21693
15,3,1503,"新潟3区",446769,95951,17084,48473,39878,58581,172541,14261
15,4,1504,"新潟4区",430288,83601,18194,50702,39815,62775,152056,23145
15,5,1505,"新潟5区",415105,88834,17186,46890,36743,53410,159485,12557
16,1,1601,"富山1区",321666,41168,18348,50722,35800,49881,107614,18133
16,2,1602,"富山2区",286989,57442,10555,29723,24982,43122,111479,9686
16,3,1603,"富山3区",426159,90208,16110,46279,35820,57606,163934,16202
17,1,1701,"石川1区",463254,48207,26899,74524,54185,73499,132652,53288
