"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
37,3,3703,"香川3区",144951,112557,23829,22771,11858,0,0,6304,4609,1058,112,8453
38,1,3801,"愛媛1区",270900,177927,51875,51331,33712,0,0,7946,9673,544,147,40951
38,2,3802,"愛媛2区",239357,184840,40367,38650,26507,0,0,5920,6223,1717,64,14086
38,3,3803,"愛媛3区",191522,155244,30600,29679,16617,0,0,9280,3782,921,60,5618
39,1,3901,"高知1区",192838,135967,35675,35130,20089,0,0,8842,6199,545,78,21118
39,2,3902,"高知2区",172158,128931,27671,27215,16652,0,0,6319,4244,456,64,15492
40,1,4001,"福岡1区",279113,151578,77085,75324,39138,27708,11430,13358,22828,1761,168,50282
40,2,4002,"福岡2区",302489,168541,80617,78984,46037,28328,17709,10701,22246,1633,165,53166
40,3,4003,"福岡3区",288712,188413,70433,68812,39490,23048,12167,10046,19276,1621,198,29668
40,4,4004,"福岡4区",254632,179705,53363,52249,19167,1988,334,23264,9818,1114,161,21403
40,5,4005,"福岡5区",288549,199976,56145,55450,21855,1721,512,21694,11901,695,262,32166
40,6,4006,"福岡6区",238084,171664,49369,47788,25656,0,0,12528,9604,1581,97,16954
40,7,4007,"福岡7区",181207,138450,32219,31304,17966,0,0,8539,4799,915,93,10445
40,8,4008,"福岡8区",217413,164056,39841,39234,20085,0,0,15140,4009,607,82,13434
40,9,4009,"福岡9区",238207,171922,46485,45847,33461,25059,8402,6166,6220,638,106,19694
40,10,4010,"福岡10区",257553,171356,54796,54190,38391,28980,9411,5378,10421,606,125,31276
40,11,4011,"福岡11区",158304,122599,29106,28551,13968,0,0,10618,3965,555,50,6549
41,1,4101,"佐賀1区",213497,153682,46129,45078,23495,0,0,8311,13272,1051,109,13577
41,2,4102,"佐賀2区",213494,170199,38292,37190,22167,0,0,8166,6857,1102,70,4933
42,1,4201,"長崎1区",220599,162356,46178,45539,30989,0,0,6571,7979,639,85,11980
42,2,4202,"長崎2区",252248,195297,50308,49051,26933,0,0,13875,8243,1257,91,6552
42,3,4203,"長崎3区",222558,171393,44349,43675,27067,0,0,8193,8415,674,83,6733
43,1,4301,"熊本1区",272172,176177,68774,67913,43414,31122,12292,10457,14042,861,163,27058
43,2,4302,"熊本2区",198384,145799,41109,40321,26403,12475,6469,7220,6698,788,89,11387
43,3,4303,"熊本3区",195702,147478,40254,38914,18296,0,0,14986,5632,1340,53,7917
43,4,4304,"熊本4区",249562,194276,46506,44310,27785,0,0,11130,5395,2196,55,8725
44,1,4401,"大分1区",240891,170118,56293,55819,38416,0,0,7594,9809,474,101,14379
44,2,4402,"大分2区",160861,128954,27463,26715,17056,0,0,5459,4200,748,33,4411
44,3,4403,"大分3区",188686,137836,36362,34669,19982,0,0,7609,7078,1693,81,14407
45,1,4501,"宮崎1区",225453,152203,49716,49188,32550,0,0,7656,8982,528,80,23454
45,2,4502,"宮崎2区",167351,128004,33642,32923,20732,0,0,7721,4470,719,36,5669
45,3,4503,"宮崎3区",172009,128596,36147,34847,22250,0,0,6394,6203,1300,49,7217
46,1,4601,"鹿児島1区",228601,151655,57126,56512,37347,0,0,9936,9229,614,73,19747
46,2,4602,"鹿児島2区",209635,151779,49797,48676,30284,0,0,11154,7238,1121,54,8005
46,3,4603,"鹿児島3区",199775,151865,43731,42264,23992,0,0,12432,5840,1467,71,4108
46,4,4604,"鹿児島4区",201939,148782,43394,41954,24453,0,0,10604,6897,1440,62,9701
47,1,4701,"沖縄1区",168892,98774,36642,35664,20595,0,0,7580,7489,978,93,33383
47,2,4702,"沖縄2区",191414,109655,37814,36929,17427,0,0,14672,4830,885,154,43791
47,3,4703,"沖縄3区",199352,116823,41441,40585,22456,0,0,12442,5687,856,189,40899
47,4,4704,"沖縄4区",185010,117183,42673,42117,18187,0,0,16304,7626,556,96,25058
