"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
11,11,1111,"埼玉11区",86779,50810,9556,41254,34280,0,28277,5463,540,1689
11,12,1112,"埼玉12区",92018,53906,8495,45411,36229,0,28978,6683,568,1883
11,13,1113,"埼玉13区",88580,37805,7216,30589,48439,0,36085,11470,884,2336
11,14,1114,"埼玉14区",95765,45180,8123,37057,47282,0,14572,31506,1204,3303
11,15,1115,"埼玉15区",103444,38709,7858,30851,61865,10651,18702,31411,1101,2870
11,16,1116,"埼玉16区",87731,42936,7068,35868,42077,2836,24656,13507,1078,2718
12,1,1201,"千葉1区",100621,49088,6441,42647,48958,19160,13624,15349,825,2575
12,2,1202,"千葉2区",74946,31727,4901,26826,40990,7848,20049,12345,748,2229
12,3,1203,"千葉3区",76078,44452,5136,39316,29037,6765,17594,4010,668,2589
12,4,1204,"千葉4区",100589,44836,7816,37020,52889,0,20085,31737,1067,2864
12,5,1205,"千葉5区",109600,44728,8604,36124,61871,0,12546,48237,1088,3001
12,6,1206,"千葉6区",99986,47503,7557,39946,49237,0,16739,31340,1158,3246
12,7,1207,"千葉7区",69704,34453,5866,28587,33246,0,15214,17413,619,2005
12,8,1208,"千葉8区",82974,45214,6624,38590,35565,0,15851,19014,700,2195
12,9,1209,"千葉9区",91799,43117,7598,35519,46329,8204,29990,7269,866,2353
12,10,1210,"千葉10区",86473,59115,12674,46441,25656,0,21211,4000,445,1702
12,11,1211,"千葉11区",84038,43103,10838,32265,39506,0,37077,1837,592,1429
12,12,1212,"千葉12区",90889,58310,10492,47818,30393,0,27832,2011,550,2186
12,13,1213,"千葉13区",97426,41915,8429,33486,53307,0,37279,15167,861,2204
12,14,1214,"千葉14区",98263,44197,6964,37233,51312,0,29136,21167,1009,2754
13,1,1301,"東京1区",70553,31683,9368,22315,35500,31072,1289,2464,675,3370
13,2,1302,"東京2区",80731,34308,11756,22552,43234,38801,440,3276,717,3189
13,3,1303,"東京3区",97164,42384,11534,30850,51763,45249,609,5113,792,3017
13,4,1304,"東京4区",108052,56641,9437,47204,46482,37677,407,7612,786,4929
13,5,1305,"東京5区",91284,36712,13658,23054,51614,44710,1188,4854,862,2958
13,6,1306,"東京6区",97119,40272,12445,27827,53802,44001,5647,3369,785,3045
13,7,1307,"東京7区",88788,42813,14826,27987,42730,37665,1187,3154,724,3245
13,8,1308,"東京8区",96666,35070,12263,22807,59143,49696,6532,2177,738,2453
13,9,1309,"東京9区",70406,30375,7459,22916,37961,29000,5070,3165,726,2070
13,10,1310,"東京10区",106602,37861,13288,24573,65646,58982,1286,4391,987,3095
13,11,1311,"東京11区",92331,37281,8542,28739,51693,45761,827,4243,862,3357
13,12,1312,"東京12区",87849,32796,7929,24867,51858,44999,697,5133,1029,3195
13,13,1313,"東京13区",83940,37601,7580,30021,43124,36639,260,5255,970,3215
13,14,1314,"東京14区",100213,38489,10629,27860,58540,52308,497,4702,1033,3184
13,15,1315,"東京15区",107237,45490,10551,34939,57757,52401,609,3852,895,3990
13,16,1316,"東京16区",94484,44225,8177,36048,47048,40169,427,5536,916,3211
13,17,1317,"東京17区",88791,37223,8264,28959,48562,41787,286,5423,1066,3006
13,18,1318,"東京18区",94732,33852,10167,23685,58603,0,55136,2626,841,2277
13,19,1319,"東京19区",76011,26554,7006,19548,47581,0,44324,2517,740,1876
13,20,1320,"東京20区",92737,37315,7327,29988,53005,0,45327,6571,1107,2417
13,21,1321,"東京21区",90147,38744,6667,32077,49146,0,44904,3469,773,2257
13,22,1322,"東京22区",103196,38947,10807,28140,61604,0,57534,3112,958,2645
13,23,1323,"東京23区",81273,40309,7003,33306,38425,0,17528,20127,770,2539
13,24,1324,"東京24区",83224,55458,6912,48546,25516,0,21546,3410,560,2250
13,25,1325,"東京25区",93929,44352,7104,37248,46950,0,43542,2469,939,2627
13,26,1326,"東京26区",106767,41066,14668,26398,62240,54586,793,5930,931,3461
13,27,1327,"東京27区",89194,28422,10748,17674,58410,52582,2916,2068,844,2362
13,28,1328,"東京28区",79627,28141,8067,20074,49072,43980,1447,2915,730,2414
13,29,1329,"東京29区",83230,35091,8394,26697,44898,39090,374,4369,1065,3241
13,30,1330,"東京30区",98788,44385,8155,36230,51886,0,45382,5587,917,2517
14,1,1401,"神奈川1区",99072,45225,7530,37695,51112,29243,7607,13437,825,2735
14,2,1402,"神奈川2区",102649,37774,7749,30025,62084,38711,6821,15735,817,2791
14,3,1403,"神奈川3区",109067,41285,8798,32487,64737,24896,12157,26743,941,3045
14,4,1404,"神奈川4区",73965,32287,7866,24421,39859,7457,21949,9792,661,1819
14,5,1405,"神奈川5区",85949,37058,6344,30714,46717,25011,9482,11577,647,2174
14,6,1406,"神奈川6区",87032,34077,5993,28084,50667,32064,6025,11858,720,2288
14,7,1407,"神奈川7区",74532,28988,7043,21945,43891,15415,5534,22411,531,1653
14,8,1408,"神奈川8区",98904,39972,8644,31328,56754,21880,8557,25493,824,2178
14,9,1409,"神奈川9区",80615,28030,7128,20902,50612,9622,6052,34222,716,1973
14,10,1410,"神奈川10区",79670,36216,6411,29805,40696,7485,9315,23163,733,2758
14,11,1411,"神奈川11区",80725,55054,6219,48835,23864,0,19552,3855,457,1807
14,12,1412,"神奈川12区",95763,53518,7787,45731,39700,0,30158,8755,787,2545
14,13,1413,"神奈川13区",82226,36201,5456,30745,43686,7113,25987,9840,746,2339
14,14,1414,"神奈川14区",95265,54152,6751,47401,38343,9215,11234,17251,643,2770
14,15,1415,"神奈川15区",101169,57280,8088,49192,40980,0,33044,7183,753,2909
14,16,1416,"神奈川16区",88985,51505,6476,45029,35516,0,28897,6064,555,1964
14,17,1417,"神奈川17区",108412,63511,9610,53901,42543,0,36705,5202,636,2358
14,18,1418,"神奈川18区",108046,36733,10466,26267,68758,12756,10508,44555,939,2555
14,19,1419,"神奈川19区",91202,37874,8040,29834,51049,16719,9329,24182,819,2279
14,20,1420,"神奈川20区",79785,35014,5468,29546,42444,2982,23357,15373,732,2327
15,1,1501,"新潟1区",96886,67308,8180,59128,27978,25064,2590,94,230,1600
15,2,1502,"新潟2区",109488,70568,11682,58886,37013,17208,19262,98,445,1907
