"ken","kuno","kucode","kuname","1一般世帯数_総数1","2一般世帯数_世帯人員が1人2","3一般世帯数_世帯人員が2人3","4一般世帯数_世帯人員が3人4","5一般世帯数_世帯人員が4人5","6一般世帯数_世帯人員が5人6"
27,2,2702,"大阪2区",276162,275687,475,558305,544101,14204
27,3,2703,"大阪3区",234249,230454,3795,441322,426906,14416
27,4,2704,"大阪4区",268072,267828,244,495651,488900,6751
27,5,2705,"大阪5区",282476,282245,231,521679,513732,7947
27,6,2706,"大阪6区",219426,219147,279,465221,456857,8364
27,7,2707,"大阪7区",220342,220168,174,473023,466064,6959
27,8,2708,"大阪8区",225578,225301,277,506551,497388,9163
27,9,2709,"大阪9区",194402,194156,246,451956,442131,9825
27,10,2710,"大阪10区",165616,165369,247,383625,377125,6500
27,11,2711,"大阪11区",201822,201552,270,472322,462469,9853
27,12,2712,"大阪12区",176639,176430,209,404277,397197,7080
27,13,2713,"大阪13区",232303,231950,353,493940,484464,9476
27,14,2714,"大阪14区",217096,216763,333,505841,495847,9994
27,15,2715,"大阪15区",192413,192096,317,457686,447215,10471
27,16,2716,"大阪16区",183195,182945,250,393482,384579,8903
27,17,2717,"大阪17区",168039,167772,267,395075,386227,8848
27,18,2718,"大阪18区",215169,214839,330,521767,509348,12419
27,19,2719,"大阪19区",148308,147966,342,362868,352509,10359
28,1,2801,"兵庫1区",263344,263153,191,497827,490675,7152
28,2,2802,"兵庫2区",215770,215405,365,457231,445369,11862
28,3,2803,"兵庫3区",172032,171848,184,374021,367494,6527
28,4,2804,"兵庫4区",203492,203187,305,503012,489796,13216
28,5,2805,"兵庫5区",172486,172152,334,447800,435775,12025
28,6,2806,"兵庫6区",221633,221394,239,527080,517079,10001
28,7,2807,"兵庫7区",241679,241473,206,536705,530000,6705
28,8,2808,"兵庫8区",221404,221148,256,459593,452058,7535
28,9,2809,"兵庫9区",185980,185694,286,430941,421296,9645
28,10,2810,"兵庫10区",169083,168902,181,412472,405386,7086
28,11,2811,"兵庫11区",207238,206957,281,486958,478317,8641
28,12,2812,"兵庫12区",128343,128045,298,331362,322259,9103
29,1,2901,"奈良1区",201136,200855,281,466384,456796,9588
29,2,2902,"奈良2区",178084,177582,502,451842,439627,12215
29,3,2903,"奈良3区",165761,165471,290,406247,396562,9685
30,1,3001,"和歌山1区",203016,202591,425,469512,457822,11690
30,2,3002,"和歌山2区",191467,190898,569,453072,438603,14469
31,1,3101,"鳥取1区",110402,110038,364,277037,267637,9400
31,2,3102,"鳥取2区",109340,109031,309,276370,267756,8614
32,1,3201,"島根1区",125780,125340,440,312233,300730,11503
32,2,3202,"島根2区",144112,143122,990,358893,344516,14377
33,1,3301,"岡山1区",194827,194358,469,414013,401521,12492
33,2,3302,"岡山2区",210455,210038,417,502747,490831,11916
33,3,3303,"岡山3区",192523,191952,571,484712,468411,16301
33,4,3304,"岡山4区",203604,203263,341,486960,475572,11388
34,1,3401,"広島1区",246602,246358,244,501230,491846,9384
34,2,3402,"広島2区",212129,211829,300,470287,460754,9533
34,3,3403,"広島3区",216867,216495,372,513053,500390,12663
34,4,3404,"広島4区",218323,217768,555,487115,466385,20730
34,5,3405,"広島5区",156235,155778,457,367087,354536,12551
34,6,3406,"広島6区",193371,192976,395,460930,451291,9639
35,1,3501,"山口1区",208547,207999,548,470515,452828,17687
35,2,3502,"山口2区",203017,202591,426,452720,438203,14517
35,3,3503,"山口3区",187260,186719,541,418824,402791,16033
36,1,3601,"徳島1区",188590,188104,486,421455,406590,14865
36,2,3602,"徳島2区",119620,119254,366,298104,286801,11303
