"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
40,1,4001,"福岡1区",34216,12184,5820,5680,4167,5974,381,10,14531,2253,6023,91,6164,0
40,2,4002,"福岡2区",37261,13548,6348,6328,3174,7430,426,7,14549,2827,5577,107,6038,0
40,3,4003,"福岡3区",42486,15944,7809,7799,2163,7905,858,8,15550,2856,6483,291,5920,0
40,4,4004,"福岡4区",36276,15663,7354,6948,1718,4471,111,11,15619,3068,5123,935,6493,0
40,5,4005,"福岡5区",41520,16665,8173,8180,2224,6109,151,18,15853,2832,5574,399,7048,0
40,6,4006,"福岡6区",29551,11669,5797,5874,1959,4116,123,13,11639,1674,5413,796,3756,0
40,7,4007,"福岡7区",20966,8343,4325,4685,1592,1973,41,7,8090,800,3845,753,2692,0
40,8,4008,"福岡8区",24640,10502,5051,5215,1552,2243,72,5,10134,1524,3750,880,3980,0
40,9,4009,"福岡9区",28431,11042,5838,5889,1566,3816,273,7,10869,2598,3651,355,4265,0
40,10,4010,"福岡10区",28789,11036,5741,5612,1798,4470,111,21,11629,2364,3962,579,4723,1
40,11,4011,"福岡11区",18451,7783,3961,3973,1066,1626,42,0,7606,873,3661,461,2611,0
41,1,4101,"佐賀1区",28476,11085,5779,5939,1715,3775,174,9,10811,1433,3762,2043,3573,0
41,2,4102,"佐賀2区",25791,11298,5722,5910,1434,1376,49,2,10221,663,5009,1777,2772,0
42,1,4201,"長崎1区",25836,9478,4940,5538,1023,4532,315,10,9371,1085,3464,1854,2968,0
42,2,4202,"長崎2区",30623,12998,6825,7139,1128,2456,72,5,12920,1394,5919,1916,3691,0
42,3,4203,"長崎3区",25288,10956,5546,5549,1197,1992,42,6,10450,1243,4263,1802,3142,0
43,1,4301,"熊本1区",36918,13582,6874,7585,1744,6752,366,15,14074,1700,4659,2650,5065,0
43,2,4302,"熊本2区",25095,10176,5022,5199,1450,3157,82,9,10546,891,4334,1965,3355,1
43,3,4303,"熊本3区",24552,11276,5490,4858,1087,1797,41,3,11172,949,6283,899,3041,0
43,4,4304,"熊本4区",26262,11541,6145,5923,1320,1308,25,0,10760,450,6628,1035,2647,0
44,1,4401,"大分1区",30667,12807,6374,6307,2117,2899,159,4,12485,1959,4020,2222,4284,0
44,2,4402,"大分2区",15758,6832,3616,3761,755,760,33,1,6065,607,1793,1911,1754,0
