"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
23,8,2308,"愛知8区",260123,119639,20196,99443,135660,0,132374,1626,1660,4824
23,9,2309,"愛知9区",228001,88080,22587,65493,134891,0,123052,9519,2320,5030
23,10,2310,"愛知10区",195072,96602,16997,79605,92934,0,78098,13076,1760,5536
23,11,2311,"愛知11区",240792,174870,15802,159068,59151,0,56431,1491,1229,6771
23,12,2312,"愛知12区",278089,176301,23695,152606,94881,0,91886,1432,1563,6907
23,13,2313,"愛知13区",262652,125150,19225,105925,131224,0,128127,1508,1589,6278
23,14,2314,"愛知14区",186500,116975,20179,96796,66358,0,62709,2707,942,3167
23,15,2315,"愛知15区",222649,167597,30270,137327,49112,0,38399,9668,1045,5940
23,16,2316,"愛知16区",229953,99928,16874,83054,124635,0,111288,11258,2089,5390
24,1,2401,"三重1区",206140,149297,17247,132050,50913,0,45690,4010,1213,5930
24,2,2402,"三重2区",237858,160977,19163,141814,69876,0,56442,11806,1628,7005
24,3,2403,"三重3区",241744,142127,18263,123864,91960,0,64458,25684,1818,7657
24,4,2404,"三重4区",160026,104271,20276,83995,51786,0,46884,3491,1411,3969
25,1,2501,"滋賀1区",174504,100547,14659,85888,69507,0,29429,38624,1454,4450
25,2,2502,"滋賀2区",262887,153986,23140,130846,102927,0,91551,9508,1868,5974
25,3,2503,"滋賀3区",229211,112391,16666,95725,112005,0,87969,22390,1646,4815
26,1,2601,"京都1区",206612,93532,25496,68036,105795,75126,8870,19930,1869,7285
26,2,2602,"京都2区",130223,63707,15358,48349,61816,41916,4235,14215,1450,4700
26,3,2603,"京都3区",177899,70441,14255,56186,102282,28018,46483,26044,1737,5176
26,4,2604,"京都4区",200692,93481,21078,72403,101002,53530,29428,15913,2131,6209
26,5,2605,"京都5区",135605,108089,18016,90073,24482,0,18964,4902,616,3034
26,6,2606,"京都6区",235396,90304,19423,70881,138871,0,86559,49435,2877,6221
27,1,2701,"大阪1区",209327,79916,19812,60104,120741,87101,22140,9408,2092,8670
27,2,2702,"大阪2区",208635,75654,19169,56485,123830,81375,32105,7259,3091,9151
27,3,2703,"大阪3区",158088,61512,11842,49670,88598,61766,19320,4899,2613,7978
27,4,2704,"大阪4区",205162,70678,16294,54384,126843,85897,26100,12717,2129,7641
27,5,2705,"大阪5区",210981,78724,14248,64476,123476,72140,30559,18067,2710,8781
27,6,2706,"大阪6区",192486,66823,14711,52112,117331,31852,74065,8043,3371,8332
27,7,2707,"大阪7区",206566,78146,13156,64990,122438,0,106040,14197,2201,5982
27,8,2708,"大阪8区",218655,84821,15919,68902,127695,0,104164,20971,2560,6139
27,9,2709,"大阪9区",193089,76947,13930,63017,112112,0,91478,18707,1927,4030
27,10,2710,"大阪10区",160993,68786,9860,58926,87525,0,63117,22505,1903,4682
27,11,2711,"大阪11区",193704,82904,11978,70926,105115,0,79552,23087,2476,5685
27,12,2712,"大阪12区",171302,63256,11956,51300,101794,0,89132,9648,3014,6252
27,13,2713,"大阪13区",192042,103390,15278,88112,80172,0,69933,7679,2560,8480
27,14,2714,"大阪14区",217257,89972,16216,73756,120737,0,109215,8172,3350,6548
27,15,2715,"大阪15区",189892,68717,14323,54394,115204,2232,104514,5548,2910,5971
27,16,2716,"大阪16区",169316,62652,11749,50903,100704,26080,67732,4873,2019,5960
27,17,2717,"大阪17区",162181,61304,10996,50308,94697,29984,58773,3868,2072,6180
27,18,2718,"大阪18区",218618,85684,15362,70322,125647,0,117441,5153,3053,7287
27,19,2719,"大阪19区",157100,63707,12010,51697,89222,0,81134,6377,1711,4171
28,1,2801,"兵庫1区",207519,88696,14617,74079,112221,52234,22957,35212,1818,6602
28,2,2802,"兵庫2区",192646,79057,13654,65403,106160,57391,29087,17437,2245,7429
28,3,2803,"兵庫3区",149917,50944,8687,42257,94243,62692,18918,11003,1630,4730
28,4,2804,"兵庫4区",229866,119386,21098,98288,104757,25595,70035,7226,1901,5723
28,5,2805,"兵庫5区",212377,139578,25068,114510,69933,0,42652,25929,1352,2866
28,6,2806,"兵庫6区",218782,81809,14167,67642,130909,0,60904,67645,2360,6064
28,7,2807,"兵庫7区",227226,87992,15771,72221,133338,0,60983,69938,2417,5896
28,8,2808,"兵庫8区",185592,88732,11709,77023,90275,0,31311,56618,2346,6585
28,9,2809,"兵庫9区",188780,103509,21361,82148,79897,0,69685,8547,1665,5374
28,10,2810,"兵庫10区",184388,84375,10583,73792,94821,0,87750,5382,1689,5192
28,11,2811,"兵庫11区",225948,177924,15034,162890,45675,0,40295,4487,893,2349
28,12,2812,"兵庫12区",154413,88874,14177,74697,63447,0,59486,3088,873,2092
29,1,2901,"奈良1区",196086,91191,15414,75777,100871,0,28166,71029,1676,4024
29,2,2902,"奈良2区",197449,69006,17958,51048,123936,0,71055,50452,2429,4507
29,3,2903,"奈良3区",179978,77701,20721,56980,97987,0,66649,29263,2075,4290
30,1,3001,"和歌山1区",211580,156394,21198,135196,48940,0,33802,13964,1174,6246
30,2,3002,"和歌山2区",217200,140378,40880,99498,73378,0,59508,12700,1170,3444
31,1,3101,"鳥取1区",133629,109220,14645,94575,20852,0,18915,1388,549,3557
31,2,3102,"鳥取2区",135724,90076,16299,73777,43301,0,35914,6703,684,2347
32,1,3201,"島根1区",153589,127252,16506,110746,23719,0,17269,5960,490,2618
32,2,3202,"島根2区",179003,153093,19971,133122,22153,0,19919,1754,480,3757
33,1,3301,"岡山1区",189164,132033,18244,113789,54089,14505,35668,3189,727,3042
33,2,3302,"岡山2区",230758,118645,20081,98564,106827,59862,43064,2699,1202,5286
33,3,3303,"岡山3区",232697,150182,30756,119426,77288,0,64890,10954,1444,5227
33,4,3304,"岡山4区",215140,160498,16051,144447,47194,0,42887,3172,1135,7448
34,1,3401,"広島1区",237259,116631,15693,100938,114147,65965,44418,1979,1785,6481
34,2,3402,"広島2区",223359,105747,15683,90064,111318,63969,40132,5487,1730,6294
34,3,3403,"広島3区",240852,121144,18987,102157,113067,80147,29056,1924,1940,6641
34,4,3404,"広島4区",228689,174301,18933,155368,48948,0,46701,1069,1178,5440
34,5,3405,"広島5区",176029,137486,23077,114409,35371,0,33048,1683,640,3172
34,6,3406,"広島6区",212140,176882,16359,160523,27022,0,16707,9400,915,8236
35,1,3501,"山口1区",221642,176851,17307,159544,42049,0,39823,1660,566,2742
35,2,3502,"山口2区",202126,142268,17699,124569,56398,0,48445,7333,620,3460
35,3,3503,"山口3区",196934,162706,19857,142849,30650,0,22865,7253,532,3578
36,1,3601,"徳島1区",191698,137227,25099,112128,49539,0,46670,1769,1100,4932
36,2,3602,"徳島2区",136588,72231,21061,51170,61837,0,56827,4012,998,2520
37,1,3701,"香川1区",171269,147597,14761,132836,19561,0,17006,2072,483,4111
37,2,3702,"香川2区",138500,81519,15433,66086,54457,0,51834,1800,823,2524
37,3,3703,"香川3区",133427,75142,16206,58936,55284,0,51790,2641,853,3001
38,1,3801,"愛媛1区",213929,184391,18591,165800,22727,0,20860,1249,618,6811
38,2,3802,"愛媛2区",214370,184576,23733,160843,25702,0,21926,3284,492,4092
38,3,3803,"愛媛3区",173003,124116,32822,91294,46118,0,44039,1232,847,2769
39,1,3901,"高知1区",164199,118613,21416,97197,41352,0,39467,1032,853,4234
39,2,3902,"高知2区",144366,107934,21261,86673,32874,0,30827,1337,710,3558
40,1,4001,"福岡1区",242893,137111,15793,121318,98175,61270,32349,2750,1806,7607
40,2,4002,"福岡2区",247151,113445,19865,93580,127378,104330,18322,3168,1558,6328
40,3,4003,"福岡3区",242425,111610,22136,89474,123912,86412,31622,3811,2067,6903
40,4,4004,"福岡4区",217288,83937,16243,67694,128122,2884,121152,1970,2116,5229
40,5,4005,"福岡5区",236474,87143,21051,66092,142314,3883,127571,7865,2995,7017
40,6,4006,"福岡6区",209152,124854,24493,100361,79954,0,59351,18911,1692,4344
40,7,4007,"福岡7区",154953,93795,23413,70382,57276,0,46770,9294,1212,3882
40,8,4008,"福岡8区",173692,84637,14020,70617,85775,0,83399,1013,1363,3280
40,9,4009,"福岡9区",193156,102415,12866,89549,85788,59327,23637,1542,1282,4953
40,10,4010,"福岡10区",206854,123277,13367,109910,76061,56480,14217,4088,1276,7516
40,11,4011,"福岡11区",129096,63857,11215,52642,62856,0,56723,5219,914,2383
41,1,4101,"佐賀1区",195425,127523,19689,107834,63626,0,38974,23388,1264,4276
41,2,4102,"佐賀2区",204839,134296,31674,102622,68047,0,57546,9234,1267,2496
42,1,4201,"長崎1区",184533,160282,13080,147202,19560,0,17518,1385,657,4691
42,2,4202,"長崎2区",231650,167859,33557,134302,60070,0,57086,2064,920,3721
42,3,4203,"長崎3区",201524,166991,23208,143783,31770,0,24718,6276,776,2763
43,1,4301,"熊本1区",239178,133210,19772,113438,97912,56152,37417,2567,1776,8056
43,2,4302,"熊本2区",175557,93916,22655,71261,77079,31944,33421,10562,1152,4562
43,3,4303,"熊本3区",185112,102927,30310,72617,80888,0,78537,1758,593,1297
43,4,4304,"熊本4区",219412,164284,38683,125601,53426,0,50330,2522,574,1702
44,1,4401,"大分1区",216808,194473,13619,180854,18815,0,16951,1414,450,3520
44,2,4402,"大分2区",143254,116990,23577,93413,25234,0,22135,2786,313,1030
44,3,4403,"大分3区",160260,116012,18438,97574,41425,0,34982,5787,656,2823
45,1,4501,"宮崎1区",193402,170613,20467,150146,18907,0,17603,872,432,3882
45,2,4502,"宮崎2区",154209,118526,23918,94608,33972,0,32370,1206,396,1711
45,3,4503,"宮崎3区",150981,123432,22333,101099,26238,0,20603,5357,278,1311
46,1,4601,"鹿児島1区",192910,175116,13785,161331,13060,0,11765,856,439,4734
46,2,4602,"鹿児島2区",188334,163982,23889,140093,21915,0,20843,728,344,2437
46,3,4603,"鹿児島3区",176794,134021,21752,112269,41393,0,38770,2249,374,1380
46,4,4604,"鹿児島4区",180305,145313,27015,118298,32566,0,27294,4865,407,2426
47,1,4701,"沖縄1区",132057,96566,8821,87745,31275,0,30289,269,717,4216
47,2,4702,"沖縄2区",141282,54707,8189,46518,81093,0,78707,234,2152,5482
47,3,4703,"沖縄3区",146008,86327,11265,75062,53382,0,51289,201,1892,6299
47,4,4704,"沖縄4区",158072,88598,15576,73022,65708,0,64412,274,1022,3766
