"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
21,4,2104,"岐阜4区",200222,3767,27236,33128,18319,25990,2491,9678,42682,6792,10792,16691,2656
21,5,2105,"岐阜5区",159926,3488,22738,30138,15422,18184,1910,3836,35534,5420,7143,13162,2951
22,1,2201,"静岡1区",230125,4759,38569,46499,33582,27736,4200,4471,28545,7282,11292,17178,6012
22,2,2202,"静岡2区",234029,4054,30474,40980,23354,23382,3386,10081,54100,9034,10253,21096,3835
22,3,2203,"静岡3区",241849,3491,32937,40205,20441,23273,2671,12225,64419,8666,8823,20926,3772
22,4,2204,"静岡4区",185774,3492,25480,33246,19397,20503,2428,5197,40798,7208,8737,15068,4220
22,5,2205,"静岡5区",262768,5836,42990,49310,25152,30405,10048,6647,49571,10458,10546,21034,771
22,6,2206,"静岡6区",228009,4956,35751,41602,24329,37924,3405,8158,30685,7596,10997,19737,2869
22,7,2207,"静岡7区",197279,3092,29028,34444,16901,20579,3403,12020,46263,6174,7889,15264,2222
22,8,2208,"静岡8区",237215,4839,41799,45650,30097,26069,3768,2905,45160,6996,9440,17461,3031
23,1,2301,"愛知1区",223713,6027,42709,52404,36419,26678,3144,306,21939,5210,7547,14623,6707
23,2,2302,"愛知2区",226925,5681,48705,54446,36136,26036,4126,554,19044,4574,7766,13435,6422
23,3,2303,"愛知3区",235818,5400,52587,55051,32576,25895,3022,964,27039,5543,7990,13749,6002
23,4,2304,"愛知4区",204505,4479,33514,44008,25906,23132,2682,595,29633,9299,8338,18029,4890
23,5,2305,"愛知5区",195459,3455,31493,41161,28281,23161,2662,863,26017,7357,8607,16207,6195
23,6,2306,"愛知6区",205092,3280,35093,39856,24981,22035,4145,1399,35562,7065,9459,16997,5220
23,7,2307,"愛知7区",210095,3424,43106,43193,25865,21875,2906,2035,35552,5496,7652,14272,4719
23,8,2308,"愛知8区",260123,3755,37731,48368,25017,27656,3620,6764,59123,10262,10384,21205,6238
23,9,2309,"愛知9区",228001,3555,33154,43727,26830,24302,3120,7076,40188,9174,10880,19787,6208
23,10,2310,"愛知10区",195072,2908,31145,37876,24545,21133,2541,1826,33786,7375,8433,17929,5575
23,11,2311,"愛知11区",240792,2824,41760,40713,20406,22767,2762,4070,66044,7052,6538,18642,7214
23,12,2312,"愛知12区",278089,4093,44004,46950,28984,27307,3317,6316,70310,8276,10125,21092,7315
23,13,2313,"愛知13区",262652,3545,45046,46398,24765,22964,2678,4549,72206,7756,6978,19073,6694
23,14,2314,"愛知14区",186500,2803,25769,30647,16467,19971,3780,8933,46737,5587,7665,14407,3734
23,15,2315,"愛知15区",222649,3270,29368,33644,22027,22841,2583,18609,49989,7179,9247,17843,6049
