"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
13,21,1321,"東京21区",420911,379842,1063,19551,102423,54760,100703,12825,88517,40812,248,9
13,22,1322,"東京22区",440911,403412,873,15828,85865,57999,130232,16513,96102,37338,156,5
13,23,1323,"東京23区",369600,336445,996,19762,95546,52938,94474,11441,61288,32888,264,3
13,24,1324,"東京24区",399648,362007,1801,29689,114005,50333,80587,9592,76000,37321,304,16
13,25,1325,"東京25区",431648,402232,2887,41690,147079,53525,71031,5801,80219,28919,484,13
13,26,1326,"東京26区",452043,421180,630,11433,70639,54134,140901,21685,121758,30679,166,18
13,27,1327,"東京27区",397651,373322,652,11169,69524,46866,112468,14204,118439,24203,118,8
13,28,1328,"東京28区",325196,301625,677,12733,65250,41339,93850,10958,76818,23374,190,7
13,29,1329,"東京29区",383945,358536,1657,31360,97594,40426,69111,8100,110288,25038,332,39
13,30,1330,"東京30区",430812,393431,1042,21339,104913,59312,116398,14311,76116,36967,404,10
14,1,1401,"神奈川1区",440412,408734,1350,25786,120597,60626,111794,14421,74160,31347,310,21
14,2,1402,"神奈川2区",451414,422121,1613,29045,123038,60834,109800,13618,84173,28963,317,13
14,3,1403,"神奈川3区",462410,429937,1383,28471,118532,60060,112216,16348,92927,32103,356,14
14,4,1404,"神奈川4区",333310,308941,794,14268,83605,50554,101373,13290,45057,24205,162,2
14,5,1405,"神奈川5区",375254,345617,1329,25294,107505,55020,95967,11897,48605,29364,263,10
14,6,1406,"神奈川6区",393261,363833,1465,27181,113727,54853,91030,9408,66169,28955,470,3
14,7,1407,"神奈川7区",302879,279440,561,11324,61054,42226,95987,14353,53935,23302,135,2
14,8,1408,"神奈川8区",422125,382424,772,16679,91502,61924,132589,16982,61976,39482,217,2
14,9,1409,"神奈川9区",343415,312906,685,12746,69801,47448,102179,13630,66417,30336,168,5
14,10,1410,"神奈川10区",343645,323984,1500,29469,97656,41488,72244,11593,70034,19403,241,17
14,11,1411,"神奈川11区",385067,357793,1797,40058,148469,48804,60414,5027,53224,27039,233,2
14,12,1412,"神奈川12区",413458,380433,1316,25632,116361,62189,103809,13887,57239,32709,311,5
14,13,1413,"神奈川13区",381818,354419,1293,31382,116608,50834,70816,6633,76853,27015,358,26
14,14,1414,"神奈川14区",418019,385588,1912,41014,137468,56131,71881,7077,70105,31768,652,11
14,15,1415,"神奈川15区",460984,425916,1803,32893,139755,66325,95870,10396,78874,34632,433,3
14,16,1416,"神奈川16区",399370,367782,1588,33075,125170,57716,80304,11511,58418,31240,333,15
14,17,1417,"神奈川17区",462267,429362,2679,45403,171888,66297,81854,9335,51906,32384,517,4
14,18,1418,"神奈川18区",420094,389149,957,19907,88229,56891,124401,20156,78608,30777,163,5
14,19,1419,"神奈川19区",373288,339069,762,18216,82407,53907,109153,13526,61098,34073,135,11
14,20,1420,"神奈川20区",355006,328430,1103,22690,99420,50930,79530,9088,65669,26338,230,8
15,1,1501,"新潟1区",375631,351600,4323,42159,146801,53131,63751,6431,35004,23908,123,0
15,2,1502,"新潟2区",415648,386688,6532,63226,170771,54736,55109,4754,31560,28722,235,3
15,3,1503,"新潟3区",393618,369915,8543,73536,174412,47709,38819,3049,23847,23472,231,0
15,4,1504,"新潟4区",376631,354313,7355,59993,171736,47575,45050,4682,17922,22065,252,1
15,5,1505,"新潟5区",365324,347099,8264,66599,171515,42977,36628,3840,17276,17928,296,1
16,1,1601,"富山1区",278068,258418,2001,25295,102078,41501,54576,6803,26164,19442,206,2
16,2,1602,"富山2区",251690,237850,4007,34378,106216,36598,37231,3899,15521,13648,192,0
16,3,1603,"富山3区",371302,350236,6624,47813,155131,55211,60487,4979,19991,20721,340,5
17,1,1701,"石川1区",393000,358317,2304,32429,126821,55311,77815,9278,54359,34454,225,4
17,2,1702,"石川2区",335561,310854,3511,42052,140398,47110,53440,4886,19457,24544,159,4
17,3,1703,"石川3区",246482,232286,4837,48464,103967,30445,30732,2112,11729,14083,113,0
18,1,1801,"福井1区",388645,362124,4742,48483,155429,47471,68394,6478,31127,26287,231,3
18,2,1802,"福井2区",272023,256348,3969,44100,116255,32006,37383,3723,18912,15408,265,2
19,1,1901,"山梨1区",434973,403419,3588,41053,169357,65387,77944,7117,38973,30963,587,4
19,2,1902,"山梨2区",264544,244956,3154,32919,109246,37890,40762,3406,17579,19286,298,4
20,1,2001,"長野1区",424539,398428,3788,40638,171248,69832,72305,5483,35134,25780,321,10
20,2,2002,"長野2区",391849,366952,3425,36564,156611,61892,62496,6771,39193,24636,253,8
20,3,2003,"長野3区",409869,385468,3987,42526,168788,67200,62850,4861,35256,24117,274,10
20,4,2004,"長野4区",250134,235483,2368,29080,108492,38788,40142,4087,12526,14504,147,0
20,5,2005,"長野5区",288980,273378,3582,37471,127514,42956,38932,2936,19987,15258,341,3
21,1,2101,"岐阜1区",332486,306541,2124,38765,116434,44154,68385,6440,30239,25645,294,6
21,2,2102,"岐阜2区",312673,290952,2902,45171,130063,38438,50581,3650,20147,21518,199,4
21,3,2103,"岐阜3区",425835,394824,3730,58589,165234,53084,67269,5531,41387,30736,270,5
21,4,2104,"岐阜4区",344189,324797,4648,61692,145742,41548,44041,3317,23809,19091,290,11
21,5,2105,"岐阜5区",283783,266567,2840,42990,122290,35252,40717,2966,19512,17038,178,0
22,1,2201,"静岡1区",401571,374275,2573,45196,140165,53162,79333,7008,46838,26972,323,1
22,2,2202,"静岡2区",393914,371822,4128,60538,173960,48514,58297,4551,21834,21751,338,3
22,3,2203,"静岡3区",398032,375283,4104,59283,168527,50646,60610,6583,25530,22294,441,14
22,4,2204,"静岡4区",328580,308405,2437,44108,133764,41813,51712,4473,30098,19987,186,2
22,5,2205,"静岡5区",460590,432920,3059,54732,200827,60206,78065,8998,27033,27386,280,4
22,6,2206,"静岡6区",443528,421315,3459,61158,182445,56890,68398,6279,42686,22002,207,4
22,7,2207,"静岡7区",332165,312808,3353,54343,141104,45404,50346,4879,13379,19046,309,2
22,8,2208,"静岡8区",397160,370977,2514,55192,153585,55772,79162,8943,15809,25942,232,9
23,1,2301,"愛知1区",410950,386517,1893,35758,112104,50615,99897,11138,75112,24087,327,19
23,2,2302,"愛知2区",415711,380968,1285,28088,104371,56500,114644,14900,61180,34208,522,13
23,3,2303,"愛知3区",437250,398579,1364,31044,109964,58302,112972,15112,69821,38220,440,11
23,4,2304,"愛知4区",381774,357017,2324,51110,123937,44492,73141,8070,53943,24316,421,20
23,5,2305,"愛知5区",360325,337700,2103,41194,110877,43647,68639,5951,65289,22263,351,11
23,6,2306,"愛知6区",373388,344866,2233,41472,123381,49665,76128,6996,44991,28115,395,12
23,7,2307,"愛知7区",359829,328553,1576,30013,108721,51768,88592,11570,36313,31022,248,6
23,8,2308,"愛知8区",455170,422915,3208,64508,170024,56346,75662,7460,45707,31911,336,8
23,9,2309,"愛知9区",398140,369184,2759,54547,145620,51549,71239,5042,38428,28712,238,6
23,10,2310,"愛知10区",364447,338167,2163,44139,122809,43992,64682,5241,55141,25908,362,10
23,11,2311,"愛知11区",410318,379314,2147,46886,155553,48359,67564,10679,48126,30571,424,9
23,12,2312,"愛知12区",468745,436931,3030,60454,173075,58082,82892,8901,50497,31283,515,16
23,13,2313,"愛知13区",447435,415514,2729,53269,155525,52902,82676,11896,56517,31270,633,18
23,14,2314,"愛知14区",309067,289442,3145,47434,129704,39748,49479,4130,15802,19334,282,9
23,15,2315,"愛知15区",367375,342993,2286,44142,147944,46241,57112,5164,40104,23731,632,19
23,16,2316,"愛知16区",407392,377655,2426,49849,143229,53919,77070,7153,44009,29444,275,18
24,1,2401,"三重1区",375310,349938,3753,47452,138341,45416,63044,6034,45898,24830,536,6
24,2,2402,"三重2区",414785,388106,3500,48829,172759,47587,62650,5900,46881,26122,544,13
24,3,2403,"三重3区",429154,401098,2907,46813,157870,48444,74043,8155,62866,27709,335,12
24,4,2404,"三重4区",299876,284402,4645,61983,122944,31533,34757,2110,26430,15042,430,2
25,1,2501,"滋賀1区",331841,304898,2183,29081,103390,45459,70806,10009,43970,26709,228,6
25,2,2502,"滋賀2区",451341,419146,5355,56617,178082,61353,70105,7099,40535,31745,446,4
25,3,2503,"滋賀3区",406910,371029,2581,34452,141132,56757,76565,10775,48767,35471,402,8
26,1,2601,"京都1区",419891,378300,1721,27392,100609,46444,92527,15305,94302,41302,264,25
26,2,2602,"京都2区",286787,253252,1272,19818,70151,30339,57214,10570,63888,33387,141,7
26,3,2603,"京都3区",369640,340156,1574,31645,109466,44496,72707,8971,71297,29269,197,18
26,4,2604,"京都4区",409395,374409,2182,34124,123617,50987,75983,7997,79519,34665,312,9
26,5,2605,"京都5区",241913,228920,2975,31865,104448,31295,32171,2078,24088,12826,164,3
26,6,2606,"京都6区",474083,432790,2279,38673,152697,63656,96903,9761,68821,40940,344,9
27,1,2701,"大阪1区",456215,430199,1455,24840,95973,48463,93911,10374,155183,25364,626,26
27,2,2702,"大阪2区",476221,442464,2632,45755,135421,47636,72456,6236,132328,33024,682,51
27,3,2703,"大阪3区",382589,358872,2212,43828,113727,34861,47514,3588,113142,22982,717,18
27,4,2704,"大阪4区",422560,397411,1262,26480,102604,49321,91274,10557,115913,24664,468,17
27,5,2705,"大阪5区",452443,423205,1956,41334,126451,48023,71628,7397,126416,28599,630,9
27,6,2706,"大阪6区",403695,376042,1821,47448,125053,43273,57511,4902,96034,27203,442,8
27,7,2707,"大阪7区",394052,358730,973,23330,104081,53628,100970,12272,63476,35165,152,5
27,8,2708,"大阪8区",435491,398509,1246,27473,112936,59600,110368,13551,73335,36595,384,3
27,9,2709,"大阪9区",381348,345385,1022,23251,108060,55184,95363,12443,50062,35535,385,43
27,10,2710,"大阪10区",328983,302812,1124,24188,98238,46252,74205,9059,49746,25590,576,5
27,11,2711,"大阪11区",388106,355421,1347,30767,122534,55758,81736,7817,55462,32268,411,6
27,12,2712,"大阪12区",347500,320798,1404,41045,117236,41080,52117,3598,64318,26486,207,9
27,13,2713,"大阪13区",419380,386636,1924,44414,129168,43176,58771,3436,105747,31976,418,350
27,14,2714,"大阪14区",438278,403663,2260,46642,148502,55995,73313,4544,72407,34331,270,14
27,15,2715,"大阪15区",399187,367446,2305,38027,135249,54311,70311,4287,62956,31250,489,2
27,16,2716,"大阪16区",334588,309776,1837,31849,103631,42854,64689,6314,58602,24249,556,7
27,17,2717,"大阪17区",337852,311477,1870,33956,111646,43531,56547,4303,59624,25837,532,6
27,18,2718,"大阪18区",447473,411224,2889,46699,146271,56678,68754,4549,85384,35923,321,5
27,19,2719,"大阪19区",315266,290028,2345,40058,109598,41243,47000,2955,46829,24988,249,1
