"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
11,2,1102,"埼玉2区",98915,7523,45286,11763,854,13798,133,1433,33227,713,3296
11,3,1103,"埼玉3区",96178,5977,41179,7865,1307,24275,125,1093,28794,637,2942
11,4,1104,"埼玉4区",96652,8361,48022,12460,1303,13307,90,1718,29420,573,3030
11,5,1105,"埼玉5区",94874,8566,43836,9922,965,16737,153,779,27418,682,2810
11,6,1106,"埼玉6区",103508,6002,33293,7387,1539,40936,61,870,28146,677,2768
11,7,1107,"埼玉7区",92752,6775,35152,6118,2478,30272,97,1175,22844,589,2706
11,8,1108,"埼玉8区",99041,8432,44024,7227,2347,23575,125,1282,26712,593,2618
11,9,1109,"埼玉9区",97837,8040,26922,7551,2122,46971,120,1281,16006,600,2114
11,10,1110,"埼玉10区",80456,4276,19805,4435,2066,46551,52,639,10548,581,1870
11,11,1111,"埼玉11区",85626,3873,9438,1153,1443,64521,39,462,7894,681,1921
11,12,1112,"埼玉12区",92449,3979,15604,3573,1356,62414,39,441,11643,607,2384
11,13,1113,"埼玉13区",90051,4310,27939,4620,1588,44100,83,720,16814,592,2610
11,14,1114,"埼玉14区",95924,6396,39190,9067,864,19625,121,1079,33943,668,3465
11,15,1115,"埼玉15区",105557,8049,52108,10710,940,11436,120,1007,37433,585,3443
11,16,1116,"埼玉16区",89038,4790,31196,5972,1294,33688,96,776,22863,623,2866
12,1,1201,"千葉1区",105130,10576,47130,17665,1450,22246,169,793,23473,996,2961
12,2,1202,"千葉2区",78097,6113,34295,10874,1715,20791,110,863,15176,473,2528
12,3,1203,"千葉3区",78943,4856,22169,6579,1458,44070,68,565,8480,595,2602
12,4,1204,"千葉4区",102558,7915,59775,11267,1512,12205,122,1520,26096,536,3325
12,5,1205,"千葉5区",111301,8320,67311,16175,1616,6850,221,716,29875,600,3693
12,6,1206,"千葉6区",101870,8404,56302,10839,1367,16459,126,1173,22815,583,3460
12,7,1207,"千葉7区",70406,4056,28559,3682,1166,26717,57,435,13718,425,2263
12,8,1208,"千葉8区",84656,6697,37117,10539,1448,23979,116,900,18809,527,2401
12,9,1209,"千葉9区",93174,6367,29328,9532,1225,44343,109,800,11739,1085,2748
12,10,1210,"千葉10区",81679,4716,11450,3937,1414,57100,201,434,5783,707,2318
12,11,1211,"千葉11区",80947,3293,11796,2232,812,59976,39,615,6549,659,2003
12,12,1212,"千葉12区",88276,5425,9659,3941,1994,64195,72,568,6141,862,2562
12,13,1213,"千葉13区",99279,6622,37371,6127,1814,41877,85,797,15211,646,2727
12,14,1214,"千葉14区",101729,8146,53981,11984,2265,18220,125,1317,22971,564,3062
13,1,1301,"東京1区",67620,12157,43094,4335,256,1340,893,112,7169,509,3720
13,2,1302,"東京2区",73522,9961,46330,6863,373,1283,1210,98,11480,608,3458
13,3,1303,"東京3区",91886,11342,59541,5820,605,4661,639,526,12600,582,3530
13,4,1304,"東京4区",105822,9463,61960,9538,1192,1760,1159,462,29632,532,5030
13,5,1305,"東京5区",86024,8300,56944,11239,395,2916,582,271,14034,541,3612
13,6,1306,"東京6区",94136,7439,62593,9062,474,2801,322,405,21727,510,3725
13,7,1307,"東京7区",80269,13328,50030,8630,381,2774,2239,138,7715,712,3841
13,8,1308,"東京8区",92830,7075,65947,10824,453,1902,290,182,17696,451,3075
13,9,1309,"東京9区",70634,4954,40659,10676,361,3124,124,497,23985,400,2472
13,10,1310,"東京10区",103510,13507,71434,6808,381,1743,667,136,12901,584,3990
13,11,1311,"東京11区",92088,8964,57877,6745,511,2051,203,565,21398,452,3630
13,12,1312,"東京12区",86812,7914,56292,7366,460,1552,185,316,18112,433,3547
13,13,1313,"東京13区",83085,5932,47072,6842,428,3632,139,522,27139,457,3345
13,14,1314,"東京14区",96759,8710,59524,9356,417,2094,347,371,24866,543,3581
13,15,1315,"東京15区",104648,10148,62307,15330,530,2099,605,345,22386,558,4298
13,16,1316,"東京16区",95801,6959,52057,15215,544,3940,192,621,32457,573,3694
13,17,1317,"東京17区",87682,6131,50871,7084,446,3046,141,372,29391,471,3220
13,18,1318,"東京18区",94918,7570,55559,14541,639,3661,137,426,29408,491,3261
13,19,1319,"東京19区",78363,6437,42702,10097,734,5601,122,426,25892,413,2663
13,20,1320,"東京20区",95305,7092,41005,12031,919,15327,98,1241,34359,612,3078
13,21,1321,"東京21区",94259,9564,46826,14389,1458,13883,119,1015,23069,769,2932
13,22,1322,"東京22区",103134,8557,59043,18746,627,4140,193,638,31904,545,3385
13,23,1323,"東京23区",84234,9322,38710,18371,1230,17080,133,2115,14626,549,3001
13,24,1324,"東京24区",86622,9630,33743,17856,2428,21690,145,1389,15566,635,2639
13,25,1325,"東京25区",95679,8446,32266,6202,1353,34009,94,984,22298,727,3004
13,26,1326,"東京26区",101002,9313,69389,10163,507,2932,735,357,15320,591,4034
13,27,1327,"東京27区",85246,7700,58337,8448,339,1343,374,196,15676,431,2847
13,28,1328,"東京28区",78368,5675,53212,4368,369,1822,141,313,17894,345,2759
13,29,1329,"東京29区",81695,6048,45853,8331,388,3265,150,530,25593,529,3518
13,30,1330,"東京30区",101747,10163,55422,15369,1253,9426,152,1222,26002,634,3078
14,1,1401,"神奈川1区",101073,11205,56731,23732,943,9258,338,2442,14631,622,3210
14,2,1402,"神奈川2区",103832,13456,60765,24368,905,7485,412,2546,10330,632,3350
14,3,1403,"神奈川3区",109427,12108,64574,24202,1249,6783,284,1898,16660,627,3653
14,4,1404,"神奈川4区",74151,8477,38546,19211,618,10668,202,3127,9988,612,2367
14,5,1405,"神奈川5区",89167,10830,47636,22098,804,12005,131,3447,10391,530,2671
14,6,1406,"神奈川6区",89281,11562,49734,22290,813,10939,166,3549,7856,572,2743
14,7,1407,"神奈川7区",74417,7192,49643,11296,580,4325,166,880,10928,373,2151
14,8,1408,"神奈川8区",102717,11281,63067,23341,1035,12775,169,1744,9523,552,2957
14,9,1409,"神奈川9区",82135,7501,53602,12391,923,6926,119,1517,11074,411,2646
14,10,1410,"神奈川10区",78997,7811,39501,17687,996,2871,307,548,22494,403,2968
