"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
14,12,1412,"神奈川12区",202471,185406,335,12292,51882,15797,64551,11267,29282,16926,137,2
14,13,1413,"神奈川13区",188823,174792,343,14891,53151,14949,46520,5296,39642,13868,152,11
14,14,1414,"神奈川14区",209949,193353,502,20000,64786,17902,47526,5636,37001,16338,252,6
14,15,1415,"神奈川15区",224802,206531,461,15223,62609,17561,62921,8449,39307,18096,174,1
14,16,1416,"神奈川16区",203335,186276,409,15787,58688,16802,53362,9580,31648,16893,156,10
14,17,1417,"神奈川17区",225291,207863,737,20846,79852,18310,54759,7525,25834,17146,280,2
14,18,1418,"神奈川18区",210152,194211,267,9535,39421,15109,72306,15878,41695,15864,74,3
14,19,1419,"神奈川19区",181335,163668,215,9078,35530,12608,65185,10742,30310,17605,55,7
14,20,1420,"神奈川20区",175146,161673,266,10622,43977,14607,50835,7077,34289,13376,90,7
15,1,1501,"新潟1区",177695,165812,885,18051,67878,16071,41310,4789,16828,11819,64,0
15,2,1502,"新潟2区",199527,183993,1505,27340,82148,18503,36220,3681,14596,15425,108,1
15,3,1503,"新潟3区",188379,176344,1573,32422,86774,16513,25556,2411,11095,11936,99,0
15,4,1504,"新潟4区",183528,171652,1552,26093,83325,16500,30876,3858,9448,11771,104,1
15,5,1505,"新潟5区",177226,168217,1714,28936,86519,15116,24518,2958,8456,8889,120,0
16,1,1601,"富山1区",134295,123676,462,10969,47067,12585,35193,5304,12096,10527,91,1
16,2,1602,"富山2区",121053,114066,839,13977,52286,11954,24666,3148,7196,6905,82,0
16,3,1603,"富山3区",177058,166371,1486,19867,75500,16975,39630,3823,9090,10546,136,5
17,1,1701,"石川1区",187610,168921,476,14675,57046,13541,50323,7038,25822,18579,107,3
17,2,1702,"石川2区",163337,149797,732,18345,67874,13378,35963,3931,9574,13472,67,1
17,3,1703,"石川3区",116536,109309,1053,21112,50266,9039,20740,1641,5458,7181,46,0
18,1,1801,"福井1区",186100,171684,1105,21605,72159,11824,45613,4948,14430,14298,116,2
18,2,1802,"福井2区",132422,124559,886,19746,57324,9295,24993,3073,9242,7752,110,1
19,1,1901,"山梨1区",211529,194530,839,19008,81455,17944,51170,5473,18641,16762,235,2
19,2,1902,"山梨2区",128247,118643,808,14076,53358,12010,27095,2735,8561,9479,122,3
20,1,2001,"長野1区",203647,190095,902,18823,79933,21011,49137,4372,15917,13415,132,5
20,2,2002,"長野2区",189392,176210,782,17126,73235,19639,41079,5380,18969,13049,128,5
20,3,2003,"長野3区",199117,186789,1031,19598,80453,21900,42837,3847,17123,12183,138,7
20,4,2004,"長野4区",122248,114500,574,12954,51821,12193,27453,3443,6062,7676,72,0
20,5,2005,"長野5区",139359,131883,937,16644,62345,13631,26639,2341,9346,7342,132,2
21,1,2101,"岐阜1区",155001,142022,562,17013,52656,10353,43713,4801,12924,12863,114,2
21,2,2102,"岐阜2区",151243,140404,720,20111,62331,9745,34597,2905,9995,10758,78,3
21,3,2103,"岐阜3区",206419,190676,988,26214,79281,14531,44678,4387,20597,15617,124,2
21,4,2104,"岐阜4区",166316,156455,1258,27197,71531,13065,29258,2545,11601,9731,124,6
21,5,2105,"岐阜5区",136450,127617,686,18983,58433,9764,27385,2362,10004,8756,77,0
22,1,2201,"静岡1区",193639,179620,634,21767,62202,14891,51496,5333,23297,13873,145,1
22,2,2202,"静岡2区",191392,180048,1067,29004,81417,14753,39260,3572,10975,11211,131,2
22,3,2203,"静岡3区",199639,187925,1179,29390,81361,16500,40696,5472,13327,11502,205,7
22,4,2204,"静岡4区",159448,148859,620,21147,61660,12024,34670,3560,15178,10499,89,1
22,5,2205,"静岡5区",228058,214354,776,25757,96821,17435,51706,7389,14470,13559,143,2
22,6,2206,"静岡6区",211879,200764,900,28042,81969,16610,46428,5034,21781,11020,94,1
22,7,2207,"静岡7区",163800,154113,950,25766,68747,14410,33756,4039,6445,9545,141,1
22,8,2208,"静岡8区",196449,182345,706,26298,71216,16592,51889,7266,8378,13998,103,3
23,1,2301,"愛知1区",199992,187856,431,15998,49692,12102,62788,8274,38571,11985,143,8
23,2,2302,"愛知2区",198060,180576,286,12870,45228,11655,70088,11084,29365,17258,218,8
23,3,2303,"愛知3区",213337,192602,368,14728,49522,12444,68538,11647,35355,20591,137,7
23,4,2304,"愛知4区",187446,174857,566,24563,58458,11706,46122,6191,27251,12413,162,14
23,5,2305,"愛知5区",178462,166910,520,19559,51692,11721,44268,4668,34482,11397,146,9
23,6,2306,"愛知6区",182936,168258,510,19329,57507,12735,49754,5583,22840,14490,183,5
