"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
12,12,1212,"千葉12区",195891,185388,2771,27621,89361,27964,14761,926,21984,10303,199,1
12,13,1213,"千葉13区",218792,203692,1371,17530,77447,45176,30707,1565,29896,15000,98,2
12,14,1214,"千葉14区",216183,200381,974,14684,71070,46456,36688,2007,28502,15649,152,1
13,1,1301,"東京1区",173693,161670,371,4241,26884,23432,41770,6160,58812,11914,85,24
13,2,1302,"東京2区",169200,161092,421,5052,31605,26911,42214,5623,49266,7947,154,7
13,3,1303,"東京3区",190425,180314,758,9240,42997,33264,49394,5300,39361,10013,92,6
13,4,1304,"東京4区",217899,205826,1045,14303,58331,38390,43883,3346,46528,11891,176,6
13,5,1305,"東京5区",215414,201128,344,4116,33535,38989,58430,5357,60357,14109,173,4
13,6,1306,"東京6区",226508,209677,377,5022,39063,41265,59484,5238,59228,16750,77,4
13,7,1307,"東京7区",219028,207656,373,4133,30136,31815,56268,7885,77046,11275,74,23
13,8,1308,"東京8区",210827,196653,326,4145,37690,39960,62000,5598,46934,14016,156,2
13,9,1309,"東京9区",163646,150581,477,6623,38241,31625,35447,2535,35633,12801,260,4
13,10,1310,"東京10区",237612,219804,571,6227,42728,36222,62408,9521,62127,17679,113,16
13,11,1311,"東京11区",211257,196109,903,10595,50794,35372,39266,3379,55800,14902,236,10
13,12,1312,"東京12区",207922,195301,953,12858,52669,31645,37314,3764,56098,12437,163,21
13,13,1313,"東京13区",202632,190157,1275,18364,57060,29569,26001,1917,55971,12305,160,10
13,14,1314,"東京14区",214097,201689,1148,14555,57386,34943,38482,3210,51965,12264,133,11
13,15,1315,"東京15区",230229,216579,989,13260,54418,38032,49667,5029,55184,13442,190,18
13,16,1316,"東京16区",207006,190522,1004,17165,58611,33739,30890,1929,47184,16328,146,10
13,17,1317,"東京17区",200230,187742,1386,16957,58910,31962,29224,1983,47320,12356,114,18
13,18,1318,"東京18区",213636,196479,517,6504,46615,42003,54440,4656,41744,17065,91,1
13,19,1319,"東京19区",176504,160400,488,6278,40566,33705,40667,3641,35055,15928,173,3
13,20,1320,"東京20区",222881,206414,1094,16050,68052,40798,32225,1960,46235,16308,155,4
13,21,1321,"東京21区",211784,192635,771,10545,57611,39812,38051,2839,43006,18991,153,5
13,22,1322,"東京22区",229046,210931,627,8226,50266,44356,55366,4565,47525,18021,93,1
13,23,1323,"東京23区",191236,175267,762,10649,55522,39332,35546,2499,30957,15813,156,0
13,24,1324,"東京24区",200885,183615,1369,15780,62709,35669,28926,2062,37100,17085,177,8
13,25,1325,"東京25区",217609,203308,2169,22368,77246,36715,23867,1151,39792,14024,270,7
13,26,1326,"東京26区",239963,225017,489,5938,42317,43113,64303,6203,62654,14842,98,6
13,27,1327,"東京27区",199865,187843,484,5732,40082,34981,48260,4235,54069,11963,56,3
13,28,1328,"東京28区",169491,157632,467,6538,37429,31129,40914,3339,37816,11755,102,2
13,29,1329,"東京29区",194403,181950,1228,16292,53333,28454,26821,2366,53456,12234,197,22
13,30,1330,"東京30区",217492,199218,719,10627,58912,43643,45129,3365,36823,18055,213,6
14,1,1401,"神奈川1区",223214,207950,985,12968,67624,45557,42288,3182,35346,15089,165,10
14,2,1402,"神奈川2区",229946,215415,1225,14942,69580,44750,41488,3103,40327,14329,194,8
14,3,1403,"神奈川3区",227281,211712,1022,14489,64470,42933,43264,3705,41829,15383,180,6
14,4,1404,"神奈川4区",176964,164753,564,7841,49952,39607,39713,3060,24016,12115,96,0
14,5,1405,"神奈川5区",193588,179026,994,13491,61027,40939,35741,2231,24603,14416,140,6
14,6,1406,"神奈川6区",202766,188819,1031,14526,64769,40304,33043,1943,33203,13668,277,2
14,7,1407,"神奈川7区",153060,141971,405,5815,35241,31912,39631,3361,25606,11014,73,2
14,8,1408,"神奈川8区",219425,200231,574,8891,53871,48294,53056,3583,31962,19038,155,1
14,9,1409,"神奈川9区",174281,159578,508,6565,39953,35622,41453,3311,32166,14617,85,1
