"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
34,3,3403,"広島3区",227126,209609,1338,17763,81297,49087,31268,1511,27345,17301,216,0
34,4,3404,"広島4区",215164,199362,2282,22687,85045,43435,24741,1758,19414,15463,337,2
34,5,3405,"広島5区",170415,161260,2394,19564,72406,35640,15864,792,14600,8659,494,2
34,6,3406,"広島6区",203991,191225,1295,16695,74072,44554,23558,1096,29955,12410,352,4
35,1,3501,"山口1区",214412,199859,1573,19882,97716,41905,22818,1615,14350,14406,145,2
35,2,3502,"山口2区",207655,197934,2049,23679,96637,38704,17880,841,18144,9491,227,3
35,3,3503,"山口3区",200276,190385,2019,26480,96533,33802,15880,760,14911,9720,171,0
36,1,3601,"徳島1区",186479,174890,3366,23462,71554,32194,26418,2249,15647,11416,172,1
36,2,3602,"徳島2区",139244,131796,2637,21435,55246,22130,15427,1140,13781,7121,325,2
37,1,3701,"香川1区",162325,152404,1456,13485,58404,31883,25912,1397,19867,9825,94,2
37,2,3702,"香川2区",136518,128901,1796,16451,57320,24869,15164,745,12556,7569,47,1
37,3,3703,"香川3区",126982,120168,1551,13255,54995,22923,14601,705,12138,6687,126,1
38,1,3801,"愛媛1区",230420,214997,1636,19280,79058,43722,32804,1651,36846,15154,260,9
38,2,3802,"愛媛2区",209359,200215,3245,30190,90021,38574,21070,786,16329,9031,111,2
38,3,3803,"愛媛3区",171812,163802,3460,31373,72224,29184,14467,581,12513,7777,233,0
39,1,3901,"高知1区",169343,159452,2227,21192,61590,29850,18382,1277,24934,9764,127,0
39,2,3902,"高知2区",153720,145681,3177,28226,57747,23337,11818,622,20754,7843,195,1
40,1,4001,"福岡1区",232178,214750,952,14220,73352,46109,36330,2522,41265,17163,257,8
40,2,4002,"福岡2区",254494,235844,673,11187,73713,55637,46864,3160,44610,18366,284,0
40,3,4003,"福岡3区",243505,223263,1440,17736,83007,49615,35701,2304,33460,19986,254,2
40,4,4004,"福岡4区",214770,200298,1316,17628,82382,42999,25316,1185,29472,14364,107,1
40,5,4005,"福岡5区",245289,227120,1105,17236,89086,46953,29094,1268,42378,18000,168,1
40,6,4006,"福岡6区",198206,184952,1765,20883,87978,36484,20993,1075,15774,13073,179,2
40,7,4007,"福岡7区",159872,150676,2363,23150,72588,23709,11008,527,17331,9004,192,0
40,8,4008,"福岡8区",191646,181392,3137,28386,83972,31845,12861,508,20683,9984,268,2
40,9,4009,"福岡9区",205507,192577,1796,21090,84005,35486,20131,1171,28898,12522,403,5
40,10,4010,"福岡10区",219071,205785,1720,21418,86915,37598,21991,1206,34937,12970,309,7
40,11,4011,"福岡11区",138477,130735,2094,21761,62741,23345,8742,312,11740,7420,321,1
41,1,4101,"佐賀1区",181899,169108,1642,17362,79659,33828,19421,1277,15919,12646,142,3
41,2,4102,"佐賀2区",186484,176627,3304,34513,87374,29095,12288,602,9451,9744,112,1
42,1,4201,"長崎1区",195323,182896,2316,23145,79050,32770,19308,1307,25000,12240,185,2
42,2,4202,"長崎2区",220170,208004,3354,37225,94548,37045,17323,904,17605,11907,259,0
42,3,4203,"長崎3区",195303,185337,3514,37300,89713,28852,11754,575,13629,9718,248,0
43,1,4301,"熊本1区",232195,214210,1293,16623,86432,43005,32333,2192,32332,17627,354,4
43,2,4302,"熊本2区",171814,160746,2495,21402,75362,27845,15184,749,17709,10746,320,2
