kucode,pref_id,district_name,total_pop,foreigners,pct_foreigners,kuname_x,就業者数_0_総数,就業者数_A_農業，林業,就業者数_01_うち農業,就業者数_B_漁業,就業者数_C_鉱業，採石業，砂利採取業,就業者数_D_建設業,就業者数_E_製造業,就業者数_F_電気・ガス・熱供給・水道業,就業者数_G_情報通信業,就業者数_H_運輸業，郵便業,就業者数_I_卸売業，小売業,就業者数_J_金融業，保険業,就業者数_K_不動産業，物品賃貸業,就業者数_L_学術研究，専門・技術サービス業,就業者数_M_宿泊業，飲食サービス業,就業者数_N_生活関連サービス業，娯楽業,就業者数_O_教育，学習支援業,就業者数_P_医療，福祉,就業者数_Q_複合サービス事業,就業者数_R_サービス業（他に分類されないもの）,就業者数_S_公務（他に分類されるものを除く）,就業者数_T_分類不能の産業,就業者数_R1_（再掲）第1次産業,就業者数_R2_（再掲）第2次産業,就業者数_R3_（再掲）第3次産業,kuname_y,人口_総数,人口_0～4歳,人口_5～9歳,人口_10～14歳,人口_15～19歳,人口_20～24歳,人口_25～29歳,人口_30～34歳,人口_35～39歳,人口_40～44歳,人口_45～49歳,人口_50～54歳,人口_55～59歳,人口_60～64歳,人口_65～69歳,人口_70～74歳,人口_75～79歳,人口_80～84歳,人口_85～89歳,人口_90～94歳,人口_95～99歳,人口_100歳以上,人口_年齢「不詳」,人口_（再掲）15歳未満,人口_（再掲）15～64歳,人口_（再掲）65歳以上,人口_（再掲）75歳以上,人口_（再掲）85歳以上,人口_（再掲）20～69歳
902,9,栃木2区,299897,3374,0.011250529348409621,栃木2区,149727,9821,9421,61,203,11219,33900,539,1273,7588,19705,2057,1577,6464,9446,5722,6052,17268,1330,7670,4534,3298,9882,45322,91225,栃木2区,299897,9861,11632,13050,13076,11619,13387,14953,17116,19514,22115,19569,19029,20354,23296,23699,16697,12761,9077,4933,1412,214,2533,34543,170732,92089,45094,15636,180952
903,9,栃木3区,282508,3768,0.0133376753932632,栃木3区,139551,12363,11942,47,57,9945,32789,472,905,5321,17669,1621,1468,3206,9075,5719,6083,15721,1483,6398,4183,5026,12410,42791,79324,栃木3区,282508,8815,10804,11873,13214,11342,11226,13315,15767,18317,20428,17448,17265,19913,23431,22881,15066,11725,8756,4736,1332,203,4651,31492,158235,88130,41818,15027,168452
904,9,栃木4区,428762,11222,0.026173028393374414,栃木4区,212221,13713,13621,22,74,13881,52614,717,2822,12484,28369,3281,2644,6486,9069,6899,9497,24506,1687,11853,5846,5757,13735,66569,126160,栃木4区,428762,15196,17993,19212,19984,19332,19596,23032,25809,28765,32745,27532,26199,28126,31988,31186,21404,15467,10436,5438,1551,189,7582,52401,251120,117659,54485,17614,263124
905,9,栃木5区,416523,11042,0.026509940627528372,栃木5区,202652,6767,6664,13,359,13726,55855,612,1636,13000,29902,3296,2621,4163,9545,8227,8909,24142,1699,9509,5031,3640,6780,69940,122292,栃木5区,416523,12816,15328,17365,18805,16849,17585,19601,22898,26811,31390,27755,25925,27060,31909,34746,25449,18664,12730,6301,1797,227,4512,45509,234679,131823,65168,21055,247783
1001,10,群馬1区,409107,6737,0.016467574497625315,群馬1区,197520,12713,12199,33,39,16001,28550,1074,3033,8726,29866,4773,2921,5981,10803,7206,10957,29990,1553,10601,7868,4832,12746,44590,135352,群馬1区,409107,13062,14991,16489,18272,16555,16463,18337,20961,24113,29159,26120,25014,25309,28810,30884,23541,18193,13424,7324,1904,299,19883,44542,220303,124379,64685,22951,230841
1002,10,群馬2区,403997,15052,0.03725770240868125,群馬2区,199336,6402,6273,18,24,12815,54844,713,2374,11842,28630,3346,2297,4534,8589,6817,8224,25871,1266,9900,4528,6302,6420,67683,118931,群馬2区,403997,13561,15799,17800,19667,19226,18343,19260,22109,26804,31690,27957,25189,23792,26674,30460,23025,16577,11360,5595,1556,270,7283,47160,234037,115517,58383,18781,241044
1003,10,群馬3区,401760,22278,0.055451015531660694,群馬3区,196245,7131,7116,12,18,10387,64939,524,1956,12187,25875,2910,2115,4270,8635,5561,7786,21238,1274,9831,4224,5372,7143,75344,108386,群馬3区,401760,14270,16973,18671,19515,18984,19930,20884,23875,28039,32856,27633,23093,22040,26353,30539,22370,14598,9325,4557,1316,232,5707,49914,236849,109290,52398,15430,243687
1004,10,群馬4区,353488,4970,0.014059883220929706,群馬4区,171398,3750,3602,9,50,12161,34922,754,3111,8585,27570,4299,3123,5837,8583,6450,9221,22466,1053,9453,5556,4445,3759,47133,116061,群馬4区,353488,12213,13800,15495,16917,16329,16110,17300,19471,23371,28115,24464,21782,20214,22857,26075,20432,14912,10443,5306,1422,223,6237,41508,204073,101670,52738,17394,210013
1005,10,群馬5区,370758,4395,0.011854093505736896,群馬5区,185446,12390,11963,26,83,15551,37543,799,1466,7515,24580,3126,2015,4194,11407,7064,7981,26358,1950,9383,6780,5235,12416,53177,114618,群馬5区,370758,11370,13929,15881,16062,13877,14463,16223,19076,22772,26749,23628,23430,24689,30117,31505,23023,18221,13336,7255,2087,329,2736,41180,200969,125873,64251,23007,215024
1101,11,埼玉1区,458192,6995,0.015266525823235674,埼玉1区,203563,1809,1790,2,35,13059,20423,887,13347,10497,33448,8917,6947,10941,10245,6553,11945,24480,832,15461,7314,6421,1811,33517,161814,埼玉1区,458192,19178,21335,21233,21019,23234,23468,25962,29532,32853,37573,33589,28913,23898,23479,27276,22139,16207,10294,4837,1233,184,10756,61746,280041,105649,54894,16548,282501
